	0	1	2
cell169	0.17254792153835297	NA	NA
cell170	0.22423557937145233	NA	NA
cell171	0.01633473113179207	NA	NA
cell172	NA	0.5285377502441406	NA
cell173	0.5474147796630859	NA	NA
cell174	NA	0.78200364112854	NA
cell175	0.5026892423629761	NA	NA
cell176	0.9757394790649414	NA	NA
cell177	0.1737213283777237	NA	NA
cell178	0.7558602690696716	NA	NA
cell179	0.4429790675640106	NA	NA
cell180	0.8022055625915527	NA	NA
cell181	0.5538352131843567	NA	NA
cell182	0.2812482416629791	NA	NA
cell183	0.1716514527797699	NA	NA
cell184	NA	0.783875584602356	NA
cell185	0.19108475744724274	NA	NA
cell186	NA	0.7981237173080444	NA
cell187	0.0360892191529274	NA	NA
cell188	0.44362205266952515	NA	NA
cell189	0.0025805977638810873	NA	NA
cell190	0.044846221804618835	NA	NA
cell191	0.4539276957511902	NA	NA
cell192	0.595950722694397	NA	NA
cell193	0.20919188857078552	NA	NA
cell194	0.8638954162597656	NA	NA
cell195	0.4472815692424774	NA	NA
cell196	0.12742480635643005	NA	NA
cell197	0.724311351776123	NA	NA
cell198	0.6636436581611633	NA	NA
cell199	0.0061926390044391155	NA	NA
cell200	0.8292904496192932	NA	NA
cell201	0.5655203461647034	NA	NA
cell202	0.279500812292099	NA	NA
cell203	0.13889697194099426	NA	NA
cell204	0.5142329335212708	NA	NA
cell205	0.4572366178035736	NA	NA
cell206	0.39471521973609924	NA	NA
cell207	0.13335557281970978	NA	NA
cell208	0.5370243787765503	NA	NA
cell209	0.29775938391685486	NA	NA
cell210	0.7402390837669373	NA	NA
cell211	0.7851303219795227	NA	NA
cell212	NA	0.5756416320800781	NA
cell213	0.5010890364646912	NA	NA
cell214	NA	0.661677896976471	NA
cell215	0.7692080736160278	NA	NA
cell216	0.43457499146461487	NA	NA
cell217	0.4507533013820648	NA	NA
cell218	0.17296916246414185	NA	NA
cell219	0.8081672787666321	NA	NA
cell220	NA	0.7420651912689209	NA
cell221	0.012581733986735344	NA	NA
cell222	0.4543839693069458	NA	NA
cell223	0.2768189013004303	NA	NA
cell224	0.43660083413124084	NA	NA
cell225	0.4351922571659088	NA	NA
cell226	0.38819649815559387	NA	NA
cell227	0.40492159128189087	NA	NA
cell228	0.6298444867134094	NA	NA
cell229	0.5399295091629028	NA	NA
cell230	0.37514060735702515	NA	NA
cell231	0.7814473509788513	NA	NA
cell232	0.3863925635814667	NA	NA
cell233	0.4262915253639221	NA	NA
cell234	0.6036795973777771	NA	NA
cell235	0.46874046325683594	NA	NA
cell236	0.2735975384712219	NA	NA
cell237	0.46224096417427063	NA	NA
cell238	NA	0.6747758388519287	NA
cell239	0.055496521294116974	NA	NA
cell240	0.44065409898757935	NA	NA
cell241	0.6854719519615173	NA	NA
cell242	0.9467243552207947	NA	NA
cell243	0.18104864656925201	NA	NA
cell244	0.6151923537254333	NA	NA
cell245	0.11335614323616028	NA	NA
cell246	0.6978954672813416	NA	NA
cell247	0.8904522061347961	NA	NA
cell248	0.12899917364120483	NA	NA
cell249	0.05131632834672928	NA	NA
cell250	0.6991961002349854	NA	NA
cell251	NA	0.8040928244590759	NA
cell252	0.009027051739394665	NA	NA
cell253	0.4560447633266449	NA	NA
cell254	0.7928506731987	NA	NA
cell255	0.5305956602096558	NA	NA
cell256	0.17537537217140198	NA	NA
cell257	0.360617995262146	NA	NA
cell258	0.4223039746284485	NA	NA
cell259	0.6654188632965088	NA	NA
cell260	NA	0.5986495018005371	NA
cell261	0.38048461079597473	NA	NA
cell262	0.45089974999427795	NA	NA
cell263	0.5020102858543396	NA	NA
cell264	0.19881317019462585	NA	NA
cell265	0.10491037368774414	NA	NA
cell266	0.4055585265159607	NA	NA
cell267	0.16451379656791687	NA	NA
cell268	0.40832382440567017	NA	NA
cell269	NA	0.7456122040748596	NA
cell270	0.534477174282074	NA	NA
cell271	0.752220869064331	NA	NA
cell272	0.5827880501747131	NA	NA
cell273	0.6130859851837158	NA	NA
cell274	0.17205265164375305	NA	NA
cell275	0.3767569959163666	NA	NA
cell276	0.4322667419910431	NA	NA
cell277	0.4495657682418823	NA	NA
cell278	NA	NA	0.9890841245651245
cell279	NA	0.7968781590461731	NA
cell280	NA	NA	0.9812735319137573
cell281	0.619743287563324	NA	NA
cell282	0.7060245275497437	NA	NA
cell283	0.018314948305487633	NA	NA
cell284	0.581473708152771	NA	NA
cell285	0.03112759068608284	NA	NA
cell286	0.10578779876232147	NA	NA
cell287	0.8456874489784241	NA	NA
cell288	0.010191795416176319	NA	NA
cell289	0.1747022122144699	NA	NA
cell290	NA	NA	0.96723473072052
cell291	0.17608296871185303	NA	NA
cell292	0.7494679689407349	NA	NA
cell293	0.43147382140159607	NA	NA
cell294	0.3326243460178375	NA	NA
cell295	0.15016281604766846	NA	NA
cell296	0.6841393113136292	NA	NA
cell297	0.4561101794242859	NA	NA
cell298	0.378246009349823	NA	NA
cell299	0.26583167910575867	NA	NA
cell300	NA	0.7166147232055664	NA
cell301	0.464594304561615	NA	NA
cell302	0.6898972988128662	NA	NA
cell303	0.41561779379844666	NA	NA
cell304	0.7945625185966492	NA	NA
cell305	0.57410728931427	NA	NA
cell306	0.03359505534172058	NA	NA
cell307	0.37343597412109375	NA	NA
cell308	0.8131425380706787	NA	NA
cell309	0.16844192147254944	NA	NA
cell310	0.34731850028038025	NA	NA
cell311	0.4518328011035919	NA	NA
cell312	0.4301871955394745	NA	NA
cell313	0.45606374740600586	NA	NA
cell314	0.37336888909339905	NA	NA
cell315	0.49535974860191345	NA	NA
cell316	0.17329661548137665	NA	NA
cell317	0.08798493444919586	NA	NA
cell318	0.42162466049194336	NA	NA
cell319	0.7494821548461914	NA	NA
cell320	0.36771026253700256	NA	NA
cell321	0.39428621530532837	NA	NA
cell322	0.005702528636902571	NA	NA
cell323	0.16888026893138885	NA	NA
cell324	0.22132037580013275	NA	NA
cell325	0.17742414772510529	NA	NA
cell326	NA	0.6259594559669495	NA
cell327	0.1760881394147873	NA	NA
cell328	NA	0.7801674008369446	NA
cell329	0.7367367148399353	NA	NA
cell330	0.5386806726455688	NA	NA
cell331	NA	0.8194447159767151	NA
cell332	0.8193584084510803	NA	NA
cell333	0.45331698656082153	NA	NA
cell334	0.798349142074585	NA	NA
cell335	NA	0.7959553003311157	NA
cell336	0.16857121884822845	NA	NA
cell337	0.46996453404426575	NA	NA
cell338	0.5321645736694336	NA	NA
cell339	0.5288082957267761	NA	NA
cell340	0.37776273488998413	NA	NA
cell341	0.577041506767273	NA	NA
cell342	NA	0.6444835066795349	NA
cell343	0.035120889544487	NA	NA
cell344	0.49252989888191223	NA	NA
cell345	NA	0.6007483005523682	NA
cell346	NA	NA	0.9883182048797607
cell347	0.19621790945529938	NA	NA
cell348	NA	0.7897900938987732	NA
cell349	NA	NA	0.9549360275268555
cell350	0.5041413307189941	NA	NA
cell351	0.03356635943055153	NA	NA
cell352	0.4571823477745056	NA	NA
cell353	0.1766543984413147	NA	NA
cell354	0.8551155924797058	NA	NA
cell355	0.004045378882437944	NA	NA
cell356	0.824867308139801	NA	NA
cell357	0.4424057602882385	NA	NA
cell358	0.7156046032905579	NA	NA
cell359	0.6258376240730286	NA	NA
cell360	0.6290242075920105	NA	NA
cell361	NA	0.6035403609275818	NA
cell362	0.4510102868080139	NA	NA
cell363	0.013768916018307209	NA	NA
cell364	0.8214541673660278	NA	NA
cell365	0.3207762539386749	NA	NA
cell366	0.017259621992707253	NA	NA
cell367	0.12775857746601105	NA	NA
cell368	0.3631945550441742	NA	NA
cell369	0.014627482742071152	NA	NA
cell370	0.17519982159137726	NA	NA
cell371	NA	0.7891378402709961	NA
cell372	0.4768616557121277	NA	NA
cell373	0.03274327144026756	NA	NA
cell374	0.6226896047592163	NA	NA
cell375	0.42937979102134705	NA	NA
cell376	NA	0.541111946105957	NA
cell377	0.8291062712669373	NA	NA
cell378	0.4627162516117096	NA	NA
cell379	0.4395056962966919	NA	NA
cell380	0.6656630635261536	NA	NA
cell381	0.03145189210772514	NA	NA
cell382	0.5110844373703003	NA	NA
cell383	0.6286025047302246	NA	NA
cell384	0.162379652261734	NA	NA
cell385	0.7428812384605408	NA	NA
cell386	0.06674853712320328	NA	NA
cell387	0.5023109316825867	NA	NA
cell388	0.6712396144866943	NA	NA
cell389	NA	0.6031113862991333	NA
cell390	0.01690300740301609	NA	NA
cell391	0.6582334041595459	NA	NA
cell392	0.1735159456729889	NA	NA
cell393	0.5772719979286194	NA	NA
cell394	0.6914158463478088	NA	NA
cell395	0.9486219882965088	NA	NA
cell396	0.1693679690361023	NA	NA
cell397	NA	0.7543801069259644	NA
cell398	0.7002841234207153	NA	NA
cell399	0.17179779708385468	NA	NA
cell400	0.3870219886302948	NA	NA
cell401	0.2709108591079712	NA	NA
cell402	NA	0.6625640988349915	NA
cell403	0.4615887701511383	NA	NA
cell404	0.8485254645347595	NA	NA
cell405	0.4765634536743164	NA	NA
cell406	0.713152289390564	NA	NA
cell407	0.40055420994758606	NA	NA
cell408	NA	0.5988813638687134	NA
cell409	0.20640549063682556	NA	NA
cell410	0.047931164503097534	NA	NA
cell411	0.17071570456027985	NA	NA
cell412	0.20366428792476654	NA	NA
cell413	0.5119132995605469	NA	NA
cell414	0.3484519422054291	NA	NA
cell415	0.44499170780181885	NA	NA
cell416	0.8475571274757385	NA	NA
cell417	0.0028404253534972668	NA	NA
cell418	0.04463919997215271	NA	NA
cell419	0.529160737991333	NA	NA
cell420	0.5457788109779358	NA	NA
cell421	0.41338762640953064	NA	NA
cell422	0.45321616530418396	NA	NA
cell423	0.3256550431251526	NA	NA
cell424	0.8175930380821228	NA	NA
cell425	0.5381578207015991	NA	NA
cell426	0.6148987412452698	NA	NA
cell427	0.543123185634613	NA	NA
cell428	0.503875195980072	NA	NA
cell429	0.7491389513015747	NA	NA
cell430	0.4108704924583435	NA	NA
cell431	0.7389317750930786	NA	NA
cell432	0.45160654187202454	NA	NA
cell433	0.8242328763008118	NA	NA
cell434	0.7848080992698669	NA	NA
cell435	0.1878979206085205	NA	NA
cell436	0.16985464096069336	NA	NA
cell437	0.5006250739097595	NA	NA
cell438	0.007875621318817139	NA	NA
cell439	0.7341486811637878	NA	NA
cell440	0.15622369945049286	NA	NA
cell441	0.009188361465930939	NA	NA
cell442	0.03212610259652138	NA	NA
cell443	NA	0.7917444109916687	NA
cell444	0.8041247129440308	NA	NA
cell445	0.5664761066436768	NA	NA
cell446	0.041496094316244125	NA	NA
cell447	0.1710309237241745	NA	NA
cell448	NA	0.5572730898857117	NA
cell449	0.8160535097122192	NA	NA
cell450	0.8828346133232117	NA	NA
cell451	0.8000544905662537	NA	NA
cell452	0.6222226023674011	NA	NA
cell453	0.17745749652385712	NA	NA
cell454	0.5859256386756897	NA	NA
cell455	0.5997855067253113	NA	NA
cell456	0.48821142315864563	NA	NA
cell457	0.17254866659641266	NA	NA
cell458	0.9163782596588135	NA	NA
cell459	0.10150973498821259	NA	NA
cell460	0.8086450695991516	NA	NA
cell461	0.033776286989450455	NA	NA
cell462	0.16620874404907227	NA	NA
cell463	0.6179558038711548	NA	NA
cell464	0.17765137553215027	NA	NA
cell465	NA	0.6313775181770325	NA
cell466	0.6446611881256104	NA	NA
cell467	0.02995561808347702	NA	NA
cell468	0.5736751556396484	NA	NA
cell469	0.20339521765708923	NA	NA
cell470	0.3761521279811859	NA	NA
cell471	0.6573245525360107	NA	NA
cell472	0.042494650930166245	NA	NA
cell473	0.805563747882843	NA	NA
cell474	NA	0.6254037618637085	NA
cell475	0.025152388960123062	NA	NA
cell476	0.5907654762268066	NA	NA
cell477	0.17598074674606323	NA	NA
cell478	0.5122812390327454	NA	NA
cell479	0.6058536767959595	NA	NA
cell480	0.5131824016571045	NA	NA
cell481	0.42114171385765076	NA	NA
cell482	0.46072909235954285	NA	NA
cell483	0.003548437263816595	NA	NA
cell484	0.5127331018447876	NA	NA
cell485	0.6225941777229309	NA	NA
cell486	NA	NA	0.9558706879615784
cell487	0.5461916327476501	NA	NA
cell488	0.508460521697998	NA	NA
cell489	NA	NA	0.9596112966537476
cell490	0.31080561876296997	NA	NA
cell491	0.4938966631889343	NA	NA
cell492	0.008362417109310627	NA	NA
cell493	0.013356821611523628	NA	NA
cell494	0.006532573606818914	NA	NA
cell495	0.5743163824081421	NA	NA
cell496	NA	0.6631870269775391	NA
cell497	0.47544199228286743	NA	NA
cell498	0.1788775622844696	NA	NA
cell499	0.14340409636497498	NA	NA
cell500	0.45290371775627136	NA	NA
cell501	0.01027745008468628	NA	NA
cell502	0.20520168542861938	NA	NA
cell503	0.4212423264980316	NA	NA
cell504	0.09609343856573105	NA	NA
cell505	0.5931993126869202	NA	NA
cell506	0.840694785118103	NA	NA
cell507	0.7709896564483643	NA	NA
cell508	0.6196529269218445	NA	NA
cell509	0.5673168897628784	NA	NA
cell510	0.6679714322090149	NA	NA
cell511	0.5209651589393616	NA	NA
cell512	0.93079674243927	NA	NA
cell513	0.65556401014328	NA	NA
cell514	0.17798453569412231	NA	NA
cell515	0.019308287650346756	NA	NA
cell516	0.4902292490005493	NA	NA
cell517	0.4497263729572296	NA	NA
cell518	0.517396867275238	NA	NA
cell519	0.7448795437812805	NA	NA
cell520	0.7348175048828125	NA	NA
cell521	0.4348393976688385	NA	NA
cell522	0.4521368145942688	NA	NA
cell523	0.4484911859035492	NA	NA
cell524	NA	0.6526796221733093	NA
cell525	0.12675271928310394	NA	NA
cell526	0.7070746421813965	NA	NA
cell527	NA	0.8026646375656128	NA
cell528	0.8241912126541138	NA	NA
cell529	0.7387187480926514	NA	NA
cell530	0.6941204071044922	NA	NA
cell531	0.4264093339443207	NA	NA
cell532	0.6099188327789307	NA	NA
cell533	0.7526899576187134	NA	NA
cell534	0.06009684130549431	NA	NA
cell535	0.208806112408638	NA	NA
cell536	0.35912445187568665	NA	NA
cell537	0.5312888026237488	NA	NA
cell538	0.8068334460258484	NA	NA
cell539	0.3749037981033325	NA	NA
cell540	NA	NA	0.9519645571708679
cell541	0.5722870230674744	NA	NA
cell542	0.1712927669286728	NA	NA
cell543	NA	0.5968635082244873	NA
cell544	0.8169249296188354	NA	NA
cell545	0.733792781829834	NA	NA
cell546	0.5520236492156982	NA	NA
cell547	0.5100852251052856	NA	NA
cell548	0.6669210195541382	NA	NA
