	0
cell_0	0.04969404637813568
cell_1	0.0
cell_2	0.17679069936275482
cell_3	0.17356467247009277
cell_4	0.18562662601470947
cell_5	0.1976202428340912
cell_6	0.20405186712741852
cell_7	0.20596228539943695
cell_8	0.23292234539985657
cell_9	0.2405858039855957
cell_10	0.2490232139825821
cell_11	0.24773827195167542
cell_12	0.2495235949754715
cell_13	0.24978366494178772
cell_14	0.25086745619773865
cell_15	0.24920058250427246
cell_16	0.2589357793331146
cell_17	0.2580370008945465
cell_18	0.2916068136692047
cell_19	0.27843713760375977
cell_20	0.31070998311042786
cell_21	0.3178136348724365
cell_22	0.3544687032699585
cell_23	0.3746972382068634
cell_24	0.4206172823905945
cell_25	0.423110693693161
cell_26	0.48020410537719727
cell_27	0.49459123611450195
cell_28	0.5045891404151917
cell_29	0.5088751912117004
cell_30	0.5280759930610657
cell_31	0.5531207919120789
cell_32	0.5521421432495117
cell_33	0.5550304651260376
cell_34	0.5731973648071289
cell_35	0.5727471113204956
cell_36	0.6041050553321838
cell_37	0.6039695739746094
cell_38	0.6299617886543274
cell_39	0.6325423717498779
cell_40	0.6854583621025085
cell_41	0.6914271116256714
cell_42	0.6951313018798828
cell_43	0.6954476237297058
cell_44	0.7064647078514099
cell_45	0.7040553092956543
cell_46	0.7199235558509827
cell_47	0.7233447432518005
cell_48	0.7306669354438782
cell_49	0.7315117716789246
cell_50	0.7202967405319214
cell_51	0.7130376100540161
cell_52	0.7322794198989868
cell_53	0.7299610376358032
cell_54	0.7455601096153259
cell_55	0.7430766820907593
cell_56	0.7904667854309082
cell_57	0.7818678021430969
cell_58	0.8001697659492493
cell_59	0.8007774949073792
cell_60	0.7917812466621399
cell_61	0.7976887226104736
cell_62	0.8200237154960632
cell_63	0.8373829126358032
cell_64	0.8424912691116333
cell_65	0.8470799922943115
cell_66	0.8515605926513672
cell_67	0.8536343574523926
cell_68	0.8442301154136658
cell_69	0.8503954410552979
cell_70	0.8529877662658691
cell_71	0.8530769348144531
cell_72	0.8509241938591003
cell_73	0.837407112121582
cell_74	0.8642948865890503
cell_75	0.8633962273597717
cell_76	0.8842054009437561
cell_77	0.8840951919555664
cell_78	0.8837246894836426
cell_79	0.8851139545440674
cell_80	0.855817973613739
cell_81	0.8641744256019592
cell_82	0.8763955235481262
cell_83	0.8756172060966492
cell_84	0.898881733417511
cell_85	0.8892484903335571
cell_86	0.924828052520752
cell_87	0.9117324352264404
cell_88	0.9267264008522034
cell_89	0.9251343011856079
cell_90	0.9180889129638672
cell_91	0.9188618063926697
cell_92	0.9134938716888428
cell_93	0.9103352427482605
cell_94	0.9351152181625366
cell_95	0.9162150621414185
cell_96	0.9373339414596558
cell_97	0.9373593330383301
cell_98	0.9304200410842896
cell_99	0.9326651692390442
cell_100	0.9172874689102173
cell_101	0.9207103252410889
cell_102	0.8982833623886108
cell_103	0.9133596420288086
cell_104	0.9016807675361633
cell_105	0.8973761200904846
cell_106	0.8707802295684814
cell_107	0.8731677532196045
cell_108	0.8321009874343872
cell_109	0.8046655058860779
cell_110	0.8245534896850586
cell_111	0.8221548199653625
cell_112	0.8277207016944885
cell_113	0.8278616070747375
cell_114	0.8665308952331543
cell_115	0.8633504509925842
cell_116	0.8672802448272705
cell_117	0.8667122721672058
cell_118	0.8931594491004944
cell_119	0.892442524433136
cell_120	0.8933647871017456
cell_121	0.8938681483268738
cell_122	0.887839674949646
cell_123	0.8861804008483887
cell_124	0.8646707534790039
cell_125	0.8630293607711792
cell_126	0.8504837155342102
cell_127	0.8453258872032166
cell_128	0.7742196917533875
cell_129	0.8069257736206055
cell_130	0.7546683549880981
cell_131	0.7497497797012329
cell_132	0.7444188594818115
cell_133	0.7450876832008362
cell_134	0.7163271903991699
cell_135	0.7165382504463196
cell_136	0.7077502608299255
cell_137	0.6780360341072083
cell_138	0.6471258401870728
cell_139	0.6590115427970886
cell_140	0.6381862163543701
cell_141	0.640291690826416
cell_142	0.5453407764434814
