	0
cell_0	0.043516382575035095
cell_1	0.05159223824739456
cell_2	0.10464810580015182
cell_3	0.10768157243728638
cell_4	0.0
cell_5	0.018432671204209328
cell_6	0.02120601013302803
cell_7	0.021713687106966972
cell_8	0.04806850478053093
cell_9	0.045464590191841125
cell_10	0.06386698782444
cell_11	0.06017952039837837
cell_12	0.12189766019582748
cell_13	0.10190948098897934
cell_14	0.16615408658981323
cell_15	0.15227141976356506
cell_16	0.1718772053718567
cell_17	0.17071732878684998
cell_18	0.18733133375644684
cell_19	0.18380330502986908
cell_20	0.14497864246368408
cell_21	0.1409260630607605
cell_22	0.13986122608184814
cell_23	0.1519104689359665
cell_24	0.13447782397270203
cell_25	0.13517631590366364
cell_26	0.1387624591588974
cell_27	0.14702513813972473
cell_28	0.15136322379112244
cell_29	0.14309626817703247
cell_30	0.15647201240062714
cell_31	0.18037016689777374
cell_32	0.1927649825811386
cell_33	0.19158625602722168
cell_34	0.23170241713523865
cell_35	0.2143411785364151
cell_36	0.23380251228809357
cell_37	0.2409522533416748
cell_38	0.2758133113384247
cell_39	0.2896438241004944
cell_40	0.29818210005760193
cell_41	0.2929087281227112
cell_42	0.3098742961883545
cell_43	0.3010457754135132
cell_44	0.3106144070625305
cell_45	0.3121474087238312
cell_46	0.36965885758399963
cell_47	0.3739297091960907
cell_48	0.3766959607601166
cell_49	0.3761112689971924
cell_50	0.4291526973247528
cell_51	0.45914942026138306
cell_52	0.4490002393722534
cell_53	0.46270397305488586
cell_54	0.47370195388793945
cell_55	0.4692525863647461
cell_56	0.48336195945739746
cell_57	0.4845140278339386
cell_58	0.5688281059265137
cell_59	0.539835512638092
cell_60	0.6542826890945435
cell_61	0.6560861468315125
cell_62	0.7032642364501953
cell_63	0.6939305663108826
cell_64	0.7092577219009399
cell_65	0.7113942503929138
cell_66	0.7152953147888184
cell_67	0.7152674198150635
cell_68	0.7252380847930908
cell_69	0.7239872813224792
cell_70	0.7330150008201599
cell_71	0.7311142086982727
cell_72	0.732779324054718
cell_73	0.7367796301841736
cell_74	0.7045202851295471
cell_75	0.703526496887207
cell_76	0.7206925749778748
cell_77	0.7101811766624451
cell_78	0.7682890295982361
cell_79	0.7725316882133484
cell_80	0.7954154014587402
cell_81	0.8008525967597961
cell_82	0.8024402260780334
cell_83	0.8042201995849609
cell_84	0.8376225233078003
cell_85	0.8382957577705383
cell_86	0.8700385093688965
cell_87	0.8758022785186768
cell_88	0.8743148446083069
cell_89	0.8807167410850525
cell_90	0.880944550037384
cell_91	0.872029185295105
cell_92	0.8727680444717407
cell_93	0.8786603212356567
cell_94	0.8760494589805603
cell_95	0.8756385445594788
cell_96	0.8769491314888
cell_97	0.8803304433822632
cell_98	0.8727520108222961
cell_99	0.8596446514129639
cell_100	0.8692582249641418
cell_101	0.86720210313797
cell_102	0.8626556396484375
cell_103	0.8874683380126953
cell_104	0.8966212272644043
cell_105	0.9041721820831299
cell_106	0.9126113057136536
cell_107	0.9117336869239807
cell_108	0.9129786491394043
cell_109	0.9151722192764282
cell_110	0.91904217004776
cell_111	0.9165027737617493
cell_112	0.9280466437339783
cell_113	0.9238937497138977
cell_114	0.9203181862831116
cell_115	0.9219303131103516
cell_116	0.9082323312759399
cell_117	0.9015079736709595
cell_118	0.8875150680541992
cell_119	0.8890864849090576
cell_120	0.8600308895111084
cell_121	0.8632983565330505
cell_122	0.8404971361160278
cell_123	0.8401646018028259
cell_124	0.7820227146148682
cell_125	0.8066118359565735
cell_126	0.7923205494880676
cell_127	0.7915186285972595
cell_128	0.7902315855026245
cell_129	0.7852689027786255
cell_130	0.8049460053443909
cell_131	0.805084228515625
cell_132	0.8095959424972534
