,scaling,dataset,kt
0,1,1,0.6607364850893931
1,1,1,0.7529796556156239
2,1,1,0.3398631605568931
3,1,1,0.8529620463448625
4,1,1,0.4574595999131513
5,1,1,0.8981138599034595
6,1,1,0.6910884502901633
7,1,1,0.7705184987249813
8,1,1,0.8863955315866004
9,1,1,0.4741148046786343
10,1,1,0.5194220885868907
11,1,1,0.29519869471392857
12,1,1,0.5705538650292482
13,1,1,0.5674244401120752
14,1,1,0.7153751125571409
15,1,1,0.625549594670023
16,1,1,0.8801199284130728
17,1,1,0.45212261930104625
18,1,1,0.6071165947706773
19,1,1,0.6179309017139112
20,1,1,0.4890764255678318
21,1,1,0.5546379416859833
22,1,1,0.5970747801995948
23,1,1,0.894378239054664
24,1,1,0.5716124648291661
25,1,1,0.4779696020411739
26,1,1,0.6454866294338701
27,1,1,0.8828132257683189
28,1,1,0.38375108957415904
29,1,1,0.27936134164282056
30,1,1,0.7318890001288761
31,1,1,0.778069984086536
32,1,1,0.9001650844411547
33,1,1,0.5329037306510602
34,1,1,0.31648246037950684
35,1,1,0.7196330281683632
36,1,1,0.7465614810826294
37,1,1,0.7649599736827422
38,1,1,0.5375722251582296
39,1,1,0.6529781180126806
40,1,1,0.9050906350589679
41,1,1,0.17528547994269572
42,1,1,0.5250506730780193
43,1,1,0.7823077912220767
44,1,1,0.5515147467849357
45,1,1,0.5952641877706467
46,1,1,0.6809020978114905
47,1,1,0.8691452936875818
48,1,1,0.6778017512922041
49,1,1,0.731586363041896
50,1,1,0.5721497036766593
51,1,1,0.8803559732600464
52,1,1,0.3751553719772878
53,1,1,0.5615837192737846
54,1,1,0.766955764344309
55,1,1,0.7261039792891534
56,1,1,0.3862130757710278
57,1,1,0.8870242899098949
58,1,1,0.8788776554826969
59,1,1,0.5619530802483687
60,2,1,0.8162317573536088
61,2,1,0.5903281702310375
62,2,1,0.672203388946449
63,2,1,0.8146030355191599
64,2,1,0.8147144336501969
65,2,1,0.7814754888103752
66,2,1,0.8004888222231041
67,2,1,0.7043132852604531
68,2,1,0.7023980177944548
69,2,1,0.8185884381166117
70,2,1,0.7612791816345795
71,2,1,0.8044819416113776
72,2,1,0.8173732955035494
73,2,1,0.8622154463047534
74,2,1,0.7959964187026775
75,2,1,0.8137715088508793
76,2,1,0.8434383334614819
77,2,1,0.8546083778744675
78,2,1,0.8191367046977133
79,2,1,0.610080148669305
80,2,1,0.7415542343289144
81,2,1,0.8125438642540929
