	4_8	4_7	cycle_1	1_2	3_5	3_6	cycle_2	cycle_3
108	NA	NA	NA	NA	NA	NA	0.18843939900398254	NA
109	NA	NA	NA	NA	NA	NA	0.18869146704673767	NA
110	NA	NA	NA	NA	NA	NA	0.18852970004081726	NA
111	NA	NA	NA	NA	NA	NA	0.18844163417816162	NA
112	NA	NA	NA	NA	NA	NA	0.19199822843074799	NA
113	NA	NA	NA	NA	NA	NA	0.19267971813678741	NA
114	NA	NA	NA	NA	NA	NA	0.19319812953472137	NA
115	NA	NA	NA	NA	NA	NA	0.1938304752111435	NA
116	NA	NA	NA	NA	NA	NA	0.1949850618839264	NA
117	NA	NA	NA	NA	NA	NA	0.19902798533439636	NA
118	NA	NA	NA	NA	NA	NA	0.20127327740192413	NA
119	NA	NA	NA	NA	NA	NA	0.20058247447013855	NA
120	NA	NA	NA	NA	NA	NA	0.20127955079078674	NA
121	NA	NA	NA	NA	NA	NA	0.19302982091903687	NA
122	NA	NA	NA	NA	NA	NA	0.19279594719409943	NA
123	NA	NA	NA	NA	NA	NA	0.18922480940818787	NA
124	NA	NA	NA	NA	NA	NA	0.18835900723934174	NA
125	NA	NA	NA	NA	NA	NA	0.18957872688770294	NA
126	NA	NA	NA	NA	NA	NA	0.1907801479101181	NA
127	NA	NA	NA	NA	NA	NA	0.19012759625911713	NA
128	NA	NA	NA	NA	NA	NA	0.18808402121067047	NA
129	NA	NA	NA	NA	NA	NA	0.18630066514015198	NA
130	NA	NA	NA	NA	NA	NA	0.18240444362163544	NA
131	NA	NA	NA	NA	NA	NA	0.17725850641727448	NA
132	NA	NA	NA	NA	NA	NA	0.17595547437667847	NA
133	NA	NA	NA	NA	NA	NA	0.17468389868736267	NA
134	NA	NA	NA	NA	NA	NA	0.17642603814601898	NA
135	NA	NA	NA	NA	NA	NA	0.17180807888507843	NA
136	NA	NA	0.1684330701828003	NA	NA	NA	NA	NA
137	NA	NA	0.16716521978378296	NA	NA	NA	NA	NA
138	NA	NA	0.15469644963741302	NA	NA	NA	NA	NA
139	NA	NA	0.1509152203798294	NA	NA	NA	NA	NA
140	NA	NA	0.15103358030319214	NA	NA	NA	NA	NA
141	NA	NA	0.1643732488155365	NA	NA	NA	NA	NA
142	NA	NA	0.16213512420654297	NA	NA	NA	NA	NA
143	NA	NA	0.16289670765399933	NA	NA	NA	NA	NA
144	NA	NA	0.15976500511169434	NA	NA	NA	NA	NA
145	NA	NA	0.16002224385738373	NA	NA	NA	NA	NA
146	NA	NA	0.15080387890338898	NA	NA	NA	NA	NA
147	NA	NA	0.15080216526985168	NA	NA	NA	NA	NA
148	NA	NA	0.1547679752111435	NA	NA	NA	NA	NA
149	NA	NA	0.15673775970935822	NA	NA	NA	NA	NA
150	NA	NA	0.16534869372844696	NA	NA	NA	NA	NA
151	NA	NA	0.1636074334383011	NA	NA	NA	NA	NA
152	NA	NA	0.163559228181839	NA	NA	NA	NA	NA
153	NA	NA	0.1611550748348236	NA	NA	NA	NA	NA
154	NA	NA	0.15988805890083313	NA	NA	NA	NA	NA
155	NA	NA	0.15798550844192505	NA	NA	NA	NA	NA
156	NA	NA	0.15543261170387268	NA	NA	NA	NA	NA
157	NA	NA	0.14842207729816437	NA	NA	NA	NA	NA
158	NA	NA	0.14047668874263763	NA	NA	NA	NA	NA
159	NA	NA	0.13840697705745697	NA	NA	NA	NA	NA
160	NA	NA	0.13807857036590576	NA	NA	NA	NA	NA
161	NA	NA	0.13427390158176422	NA	NA	NA	NA	NA
162	NA	NA	0.13055133819580078	NA	NA	NA	NA	NA
163	NA	NA	0.13026681542396545	NA	NA	NA	NA	NA
164	NA	NA	0.13009440898895264	NA	NA	NA	NA	NA
165	NA	NA	0.12848585844039917	NA	NA	NA	NA	NA
166	NA	NA	0.12674465775489807	NA	NA	NA	NA	NA
167	NA	NA	0.1184191107749939	NA	NA	NA	NA	NA
