	3_5	3_6	4_7	cycle
10	NA	NA	NA	0.05036340653896332
11	NA	NA	NA	0.053438927978277206
12	NA	NA	NA	0.052668649703264236
13	NA	NA	NA	0.04997415840625763
14	NA	NA	NA	0.043059591203927994
15	NA	NA	NA	0.04078255966305733
16	NA	NA	NA	0.04231548681855202
17	NA	NA	NA	0.04121904447674751
18	NA	NA	NA	0.04093308001756668
19	NA	NA	NA	0.03900430351495743
20	NA	NA	NA	0.033630721271038055
21	NA	NA	NA	0.03078881837427616
22	NA	NA	NA	0.0028656309004873037
23	NA	NA	NA	0.0
24	NA	NA	NA	0.0031553255394101143
25	NA	NA	NA	0.012231245636940002
26	NA	NA	NA	0.015261895023286343
27	NA	NA	NA	0.017766473814845085
28	NA	NA	NA	0.019612954929471016
29	NA	NA	NA	0.02312915027141571
30	NA	NA	NA	0.01943337544798851
31	NA	NA	NA	0.020989032462239265
32	NA	NA	NA	0.02073259837925434
33	NA	NA	NA	0.021837852895259857
34	NA	NA	NA	0.028594473376870155
35	NA	NA	NA	0.03405379503965378
36	NA	NA	NA	0.027652613818645477
37	NA	NA	NA	0.028578661382198334
38	NA	NA	NA	0.03456416726112366
39	NA	NA	NA	0.040639717131853104
40	NA	NA	NA	0.04563724994659424
41	NA	NA	NA	0.062128979712724686
42	NA	NA	NA	0.06749097257852554
43	NA	NA	NA	0.06797563284635544
44	NA	NA	NA	0.08267967402935028
45	NA	NA	NA	0.08080766350030899
46	NA	NA	NA	0.09607402980327606
47	NA	NA	NA	0.1093919575214386
48	NA	NA	NA	0.11866497248411179
49	NA	NA	NA	0.1219300702214241
50	NA	NA	NA	0.12605804204940796
51	NA	NA	NA	0.12501317262649536
52	NA	NA	NA	0.12663613259792328
53	NA	NA	NA	0.13113613426685333
54	NA	NA	NA	0.1287156343460083
55	NA	NA	NA	0.12636698782444
56	NA	NA	NA	0.1291569173336029
57	NA	NA	NA	0.13331930339336395
58	NA	NA	NA	0.12506651878356934
59	NA	NA	NA	0.12908495962619781
60	NA	NA	NA	0.13962943851947784
61	NA	NA	NA	0.1398979127407074
62	NA	NA	NA	0.13944028317928314
63	NA	NA	NA	0.14157527685165405
64	NA	NA	NA	0.14054244756698608
65	NA	NA	NA	0.14610973000526428
66	NA	NA	NA	0.15119095146656036
67	NA	NA	NA	0.15271316468715668
68	NA	NA	NA	0.15470030903816223
69	NA	NA	NA	0.15688319504261017
70	NA	NA	NA	0.156005859375
71	NA	NA	NA	0.15587885677814484
72	NA	NA	NA	0.1513240486383438
73	NA	NA	NA	0.16068674623966217
74	NA	NA	NA	0.16079339385032654
75	NA	NA	NA	0.16129150986671448
76	NA	NA	NA	0.17023631930351257
77	NA	NA	NA	0.1726769506931305
78	NA	NA	NA	0.17669180035591125
79	NA	NA	NA	0.19489888846874237
80	NA	NA	NA	0.20511871576309204
81	NA	NA	NA	0.2033102661371231
82	NA	NA	NA	0.20484642684459686
83	NA	NA	NA	0.20381616055965424
84	NA	NA	NA	0.19731871783733368
85	NA	NA	NA	0.1987268179655075
86	NA	NA	NA	0.19791196286678314
87	NA	NA	NA	0.19708864390850067
88	NA	NA	NA	0.22558140754699707
89	NA	NA	NA	0.22925661504268646
90	NA	NA	NA	0.22810716927051544
91	NA	NA	NA	0.23637673258781433
92	NA	NA	NA	0.24462607502937317
93	NA	NA	NA	0.24728772044181824
94	NA	NA	NA	0.24871620535850525
95	NA	NA	NA	0.25049275159835815
96	NA	NA	NA	0.26445460319519043
97	NA	NA	NA	0.2675940692424774
98	NA	NA	NA	0.2644598186016083
99	NA	NA	NA	0.2804487943649292
100	NA	NA	NA	0.27459409832954407
101	NA	NA	NA	0.27408310770988464
102	NA	NA	NA	0.27066031098365784
103	NA	NA	NA	0.2705495357513428
104	NA	NA	NA	0.2688547372817993
105	NA	NA	NA	0.2686695158481598
106	NA	NA	NA	0.26409655809402466
107	NA	NA	NA	0.26315373182296753
108	NA	NA	NA	0.2584533393383026
109	NA	NA	NA	0.263935923576355
110	NA	NA	NA	0.26666074991226196
111	NA	NA	NA	0.26718562841415405
112	NA	NA	NA	0.26847854256629944
113	NA	NA	NA	0.26698723435401917
114	NA	NA	NA	0.2886125147342682
115	NA	NA	NA	0.29180434346199036
116	NA	NA	NA	0.29489052295684814
117	NA	NA	NA	0.2981966435909271
118	NA	NA	NA	0.30121907591819763
119	NA	NA	NA	0.2978874146938324
120	NA	NA	NA	0.29537808895111084
121	NA	NA	NA	0.294235497713089
122	NA	NA	NA	0.28967034816741943
123	NA	NA	NA	0.28075698018074036
124	NA	NA	NA	0.27626973390579224
125	NA	NA	NA	0.27213820815086365
126	NA	NA	NA	0.2717689275741577
127	NA	NA	NA	0.2683793306350708
128	NA	NA	NA	0.272870808839798
129	NA	NA	NA	0.27412545680999756
130	NA	NA	NA	0.27789029479026794
131	NA	NA	NA	0.29042354226112366
132	NA	NA	NA	0.3050956130027771
133	NA	NA	NA	0.3058122992515564
134	NA	NA	NA	0.30931341648101807
135	NA	NA	NA	0.3110587000846863
136	NA	NA	NA	0.3129345178604126
137	NA	NA	NA	0.31399449706077576
138	NA	NA	NA	0.3138475716114044
139	NA	NA	NA	0.3119283616542816
140	NA	NA	NA	0.3094860017299652
141	NA	NA	NA	0.30608993768692017
142	NA	NA	NA	0.3063720762729645
143	NA	NA	NA	0.30883294343948364
144	NA	NA	NA	0.3101953864097595
145	NA	NA	NA	0.3107212781906128
146	NA	NA	NA	0.31240808963775635
147	NA	NA	NA	0.311957985162735
148	NA	NA	NA	0.3109894394874573
149	NA	NA	NA	0.3122677505016327
150	NA	NA	NA	0.3114990293979645
151	NA	NA	NA	0.3104250133037567
152	NA	NA	NA	0.31037119030952454
153	NA	NA	NA	0.3123643696308136
154	NA	NA	NA	0.31189459562301636
155	NA	NA	NA	0.3183126151561737
156	NA	NA	NA	0.3186335861682892
157	NA	NA	NA	0.3181666135787964
158	NA	NA	NA	0.3213464617729187
159	NA	NA	NA	0.3218998908996582
160	NA	NA	NA	0.31796029210090637
161	NA	NA	NA	0.3128136992454529
162	NA	NA	NA	0.3119383454322815
163	NA	NA	NA	0.2993147671222687
164	NA	NA	NA	0.301329106092453
165	NA	NA	NA	0.3020702004432678
166	NA	NA	NA	0.3052178919315338
167	NA	NA	NA	0.3025033175945282
168	NA	NA	NA	0.3019867539405823
169	NA	NA	NA	0.29837581515312195
170	NA	NA	NA	0.30170586705207825
171	NA	NA	NA	0.3045060336589813
172	NA	NA	NA	0.3141724467277527
173	NA	NA	NA	0.31378373503685
174	NA	NA	NA	0.3173072040081024
175	NA	NA	NA	0.3183281719684601
176	NA	NA	NA	0.31668633222579956
177	NA	NA	NA	0.31647881865501404
178	NA	NA	NA	0.3164632320404053
179	NA	NA	NA	0.31637319922447205
180	NA	NA	NA	0.3146376609802246
181	NA	NA	NA	0.3159755766391754
182	NA	NA	NA	0.3110922574996948
183	NA	NA	NA	0.31028613448143005
184	NA	NA	NA	0.30849945545196533
185	NA	NA	NA	0.30182406306266785
186	NA	NA	NA	0.2989339530467987
187	NA	NA	NA	0.29405713081359863
188	NA	NA	NA	0.2949809432029724
189	NA	NA	NA	0.2957001328468323
190	NA	NA	NA	0.29823124408721924
191	NA	NA	NA	0.296530544757843
192	NA	NA	NA	0.2999582886695862
193	NA	NA	NA	0.295805960893631
194	NA	NA	NA	0.2931969463825226
195	NA	NA	NA	0.29465562105178833
196	NA	NA	NA	0.2940804064273834
197	NA	NA	NA	0.2955581247806549
198	NA	NA	NA	0.29611530900001526
199	NA	NA	NA	0.2931811809539795
200	NA	NA	NA	0.2932813763618469
201	NA	NA	NA	0.2939932644367218
202	NA	NA	NA	0.2926087975502014
203	NA	NA	NA	0.29087233543395996
204	NA	NA	NA	0.29104849696159363
205	NA	NA	NA	0.28894728422164917
206	NA	NA	NA	0.2838974893093109
207	NA	NA	NA	0.2840564250946045
208	NA	NA	NA	0.2785540223121643
209	NA	NA	NA	0.2795129120349884
210	NA	NA	NA	0.2787461280822754
211	NA	NA	NA	0.2780475914478302
212	NA	NA	NA	0.27911582589149475
213	NA	NA	NA	0.27606287598609924
214	NA	NA	NA	0.27690941095352173
215	NA	NA	NA	0.27567338943481445
216	NA	NA	NA	0.2768954634666443
217	NA	NA	NA	0.2751675844192505
218	NA	NA	NA	0.27158981561660767
219	NA	NA	NA	0.26912829279899597
220	NA	NA	NA	0.266500324010849
221	NA	NA	NA	0.26372507214546204
222	NA	NA	NA	0.24587054550647736
223	NA	NA	NA	0.2402101308107376
224	NA	NA	NA	0.23519060015678406
225	NA	NA	NA	0.24124164879322052
226	NA	NA	NA	0.24518795311450958
227	NA	NA	NA	0.2475890964269638
228	NA	NA	NA	0.24889039993286133
229	NA	NA	NA	0.24339480698108673
230	NA	NA	NA	0.24147137999534607
231	NA	NA	NA	0.23849806189537048
232	NA	NA	NA	0.23776812851428986
