	4_8	4_7	cycle_1	3_5	3_6	cycle_2	cycle_3
10	NA	NA	0.16920550167560577	NA	NA	NA	NA
11	NA	NA	0.1690046191215515	NA	NA	NA	NA
12	NA	NA	0.16925498843193054	NA	NA	NA	NA
13	NA	NA	0.16845977306365967	NA	NA	NA	NA
14	NA	NA	0.1661015897989273	NA	NA	NA	NA
15	NA	NA	0.16495931148529053	NA	NA	NA	NA
16	NA	NA	0.15736877918243408	NA	NA	NA	NA
17	NA	NA	0.15569445490837097	NA	NA	NA	NA
18	NA	NA	0.13552825152873993	NA	NA	NA	NA
19	NA	NA	0.12724889814853668	NA	NA	NA	NA
20	NA	NA	0.11986082792282104	NA	NA	NA	NA
21	NA	NA	0.11305461078882217	NA	NA	NA	NA
22	NA	NA	0.11018390208482742	NA	NA	NA	NA
23	NA	NA	0.11035025864839554	NA	NA	NA	NA
24	NA	NA	0.1019146665930748	NA	NA	NA	NA
25	NA	NA	0.09778439998626709	NA	NA	NA	NA
26	NA	NA	0.07740707695484161	NA	NA	NA	NA
27	NA	NA	0.0670781061053276	NA	NA	NA	NA
28	NA	NA	0.03720119222998619	NA	NA	NA	NA
29	NA	NA	0.034970059990882874	NA	NA	NA	NA
30	NA	NA	0.032416656613349915	NA	NA	NA	NA
31	NA	NA	0.02643180452287197	NA	NA	NA	NA
32	NA	NA	0.014345848001539707	NA	NA	NA	NA
33	NA	NA	0.0012366535374894738	NA	NA	NA	NA
34	NA	NA	0.0	NA	NA	NA	NA
35	NA	NA	0.004559242632240057	NA	NA	NA	NA
36	NA	NA	0.003789604175835848	NA	NA	NA	NA
37	NA	NA	0.007514911703765392	NA	NA	NA	NA
38	NA	NA	0.011370610445737839	NA	NA	NA	NA
39	NA	NA	0.019558055326342583	NA	NA	NA	NA
40	NA	NA	0.05147682502865791	NA	NA	NA	NA
41	NA	NA	0.07271096855401993	NA	NA	NA	NA
42	NA	NA	0.0757971704006195	NA	NA	NA	NA
43	NA	NA	0.07924530655145645	NA	NA	NA	NA
44	NA	NA	0.09211397916078568	NA	NA	NA	NA
45	NA	NA	0.09619218111038208	NA	NA	NA	NA
46	NA	NA	0.09733708202838898	NA	NA	NA	NA
47	NA	NA	0.09574002027511597	NA	NA	NA	NA
48	NA	NA	0.10475783050060272	NA	NA	NA	NA
49	NA	NA	0.11542290449142456	NA	NA	NA	NA
50	NA	NA	0.11693235486745834	NA	NA	NA	NA
51	NA	NA	NA	NA	NA	0.12964372336864471	NA
52	NA	NA	NA	NA	NA	0.13113902509212494	NA
53	NA	NA	NA	NA	NA	0.12832500040531158	NA
54	NA	NA	NA	NA	NA	0.12341289967298508	NA
55	NA	NA	NA	NA	NA	0.11569760739803314	NA
56	NA	NA	NA	NA	NA	0.10297603905200958	NA
57	NA	NA	NA	NA	NA	0.1025247722864151	NA
58	NA	NA	NA	NA	NA	0.10265228152275085	NA
59	NA	NA	NA	NA	NA	0.10543826967477798	NA
60	NA	NA	NA	NA	NA	0.10330643504858017	NA
61	NA	NA	0.09216532111167908	NA	NA	NA	NA
62	NA	NA	0.09844215214252472	NA	NA	NA	NA
63	NA	NA	0.10014424473047256	NA	NA	NA	NA
64	NA	NA	0.10513575375080109	NA	NA	NA	NA
65	NA	NA	NA	NA	NA	0.10882027447223663	NA
66	NA	NA	0.11718454957008362	NA	NA	NA	NA
