	4_8	3_6	cycle
10	NA	NA	0.25549691915512085
11	NA	NA	0.25042304396629333
12	NA	NA	0.2501564621925354
13	NA	NA	0.2489834725856781
14	NA	NA	0.24787716567516327
15	NA	NA	0.24655884504318237
16	NA	NA	0.2379394769668579
17	NA	NA	0.23871196806430817
18	NA	NA	0.27298271656036377
19	NA	NA	0.24482648074626923
20	NA	NA	0.24154411256313324
21	NA	NA	0.23977652192115784
22	NA	NA	0.23872151970863342
23	NA	NA	0.23855772614479065
24	NA	NA	0.24254600703716278
25	NA	NA	0.239523783326149
26	NA	NA	0.24041910469532013
27	NA	NA	0.24117261171340942
28	NA	NA	0.23929230868816376
29	NA	NA	0.23635335266590118
30	NA	NA	0.2386889010667801
31	NA	NA	0.23876339197158813
32	NA	NA	0.23949556052684784
33	NA	NA	0.2387063205242157
34	NA	NA	0.23829185962677002
35	NA	NA	0.23471969366073608
36	NA	NA	0.2392844259738922
37	NA	NA	0.238458514213562
38	NA	NA	0.23713311553001404
39	NA	NA	0.2366119921207428
40	NA	NA	0.2354927659034729
41	NA	NA	0.2354612648487091
42	NA	NA	0.23180963099002838
43	NA	NA	0.2322188764810562
44	NA	NA	0.23187513649463654
45	NA	NA	0.23201777040958405
46	NA	NA	0.2326309233903885
47	NA	NA	0.22966131567955017
48	NA	NA	0.22962462902069092
49	NA	NA	0.2266838252544403
50	NA	NA	0.22475235164165497
51	NA	NA	0.22090795636177063
52	NA	NA	0.2126687616109848
53	NA	NA	0.21193738281726837
54	NA	NA	0.21284517645835876
55	NA	NA	0.21330276131629944
56	NA	NA	0.21140438318252563
57	NA	NA	0.20908799767494202
58	NA	NA	0.20856422185897827
59	NA	NA	0.2076309323310852
60	NA	NA	0.20832207798957825
61	NA	NA	0.21358464658260345
62	NA	NA	0.21483534574508667
63	NA	NA	0.21348698437213898
64	NA	NA	0.20826172828674316
65	NA	NA	0.20683886110782623
66	NA	NA	0.20645788311958313
67	NA	NA	0.2028488665819168
68	NA	NA	0.20585006475448608
69	NA	NA	0.19961629807949066
70	NA	NA	0.19422605633735657
71	NA	NA	0.19055962562561035
72	NA	NA	0.18437445163726807
73	NA	NA	0.18292933702468872
74	NA	NA	0.18234971165657043
75	NA	NA	0.18151572346687317
76	NA	NA	0.1820327490568161
77	NA	NA	0.1856156438589096
78	NA	NA	0.18180841207504272
79	NA	NA	0.1817270815372467
80	NA	NA	0.17678584158420563
81	NA	NA	0.17009593546390533
82	NA	NA	0.16493499279022217
83	NA	NA	0.17481012642383575
84	NA	NA	0.17577007412910461
85	NA	NA	0.17758966982364655
86	NA	NA	0.17846940457820892
87	NA	NA	0.17755571007728577
88	NA	NA	0.17721538245677948
89	NA	NA	0.17585395276546478
90	NA	NA	0.17479585111141205
91	NA	NA	0.17442171275615692
92	NA	NA	0.17231214046478271
93	NA	NA	0.16573099792003632
94	NA	NA	0.1633324921131134
95	NA	NA	0.1877892166376114
96	NA	NA	0.18852192163467407
97	NA	NA	0.19115328788757324
98	NA	NA	0.19907979667186737
99	NA	NA	0.19925789535045624
100	NA	NA	0.20031602680683136
101	NA	NA	0.2000359147787094
102	NA	NA	0.19859249889850616
103	NA	NA	0.19684496521949768
104	NA	NA	0.1940855085849762
105	NA	NA	0.19840513169765472
106	NA	NA	0.1947225034236908
107	NA	NA	0.1935577690601349
108	NA	NA	0.19718024134635925
109	NA	NA	0.1984502077102661
110	NA	NA	0.19862909615039825
111	NA	NA	0.19669939577579498
112	NA	NA	0.1962800920009613
113	NA	NA	0.1956903487443924
114	NA	NA	0.19480584561824799
115	NA	NA	0.19931790232658386
116	NA	NA	0.20038080215454102
117	NA	NA	0.19963864982128143
118	NA	NA	0.2029111087322235
119	NA	NA	0.20422381162643433
120	NA	NA	0.20389603078365326
121	NA	NA	0.20221519470214844
122	NA	NA	0.20030158758163452
