	4_7	4_8	cycle_1	3_5	3_6	cycle_2	cycle_3
10	NA	NA	0.0	NA	NA	NA	NA
11	NA	NA	0.009886088781058788	NA	NA	NA	NA
12	NA	NA	0.014800416305661201	NA	NA	NA	NA
13	NA	NA	0.015374078415334225	NA	NA	NA	NA
14	NA	NA	0.025619816035032272	NA	NA	NA	NA
15	NA	NA	0.03269851952791214	NA	NA	NA	NA
16	NA	NA	0.031491927802562714	NA	NA	NA	NA
17	NA	NA	0.02933293767273426	NA	NA	NA	NA
18	NA	NA	0.032628271728754044	NA	NA	NA	NA
19	NA	NA	0.04344620183110237	NA	NA	NA	NA
20	NA	NA	0.057225603610277176	NA	NA	NA	NA
21	NA	NA	0.06441305577754974	NA	NA	NA	NA
22	NA	NA	0.0706571638584137	NA	NA	NA	NA
23	NA	NA	0.07703809440135956	NA	NA	NA	NA
24	NA	NA	0.09587455540895462	NA	NA	NA	NA
25	NA	NA	0.1022241860628128	NA	NA	NA	NA
26	NA	NA	0.10423517972230911	NA	NA	NA	NA
27	NA	NA	0.1096220314502716	NA	NA	NA	NA
28	NA	NA	0.08528853952884674	NA	NA	NA	NA
29	NA	NA	0.08892267942428589	NA	NA	NA	NA
30	NA	NA	0.08735354989767075	NA	NA	NA	NA
31	NA	NA	0.0840441957116127	NA	NA	NA	NA
32	NA	NA	0.08880559355020523	NA	NA	NA	NA
33	NA	NA	0.09429776668548584	NA	NA	NA	NA
34	NA	NA	0.0960686206817627	NA	NA	NA	NA
35	NA	NA	0.09612850844860077	NA	NA	NA	NA
36	NA	NA	0.1107397973537445	NA	NA	NA	NA
37	NA	NA	0.13736099004745483	NA	NA	NA	NA
38	NA	NA	0.14724569022655487	NA	NA	NA	NA
39	NA	NA	0.17458251118659973	NA	NA	NA	NA
40	NA	NA	0.17135395109653473	NA	NA	NA	NA
41	NA	NA	0.17453600466251373	NA	NA	NA	NA
42	NA	NA	0.17222291231155396	NA	NA	NA	NA
43	NA	NA	0.17761263251304626	NA	NA	NA	NA
44	NA	NA	0.18249982595443726	NA	NA	NA	NA
45	NA	NA	0.18276618421077728	NA	NA	NA	NA
46	NA	NA	0.19462928175926208	NA	NA	NA	NA
47	NA	NA	0.18872523307800293	NA	NA	NA	NA
48	NA	NA	0.19235320389270782	NA	NA	NA	NA
49	NA	NA	0.19636490941047668	NA	NA	NA	NA
50	NA	NA	0.20475997030735016	NA	NA	NA	NA
51	NA	NA	0.206184983253479	NA	NA	NA	NA
52	NA	NA	NA	NA	NA	0.21065105497837067	NA
53	NA	NA	NA	NA	NA	0.2112160176038742	NA
54	NA	NA	0.21097372472286224	NA	NA	NA	NA
55	NA	NA	0.2132282853126526	NA	NA	NA	NA
56	NA	NA	0.21785826981067657	NA	NA	NA	NA
57	NA	NA	NA	NA	NA	0.2236729860305786	NA
58	NA	NA	NA	NA	NA	0.2471722811460495	NA
59	NA	NA	NA	NA	NA	0.2626347243785858	NA
60	NA	NA	NA	NA	NA	0.2642805278301239	NA
61	NA	NA	NA	NA	NA	0.2661498785018921	NA
62	NA	NA	NA	NA	NA	0.25548142194747925	NA
63	NA	NA	NA	NA	NA	0.2631855309009552	NA
64	NA	NA	NA	NA	NA	0.2817828953266144	NA
65	NA	NA	NA	NA	NA	0.27899041771888733	NA
66	NA	NA	NA	NA	NA	0.2810588777065277	NA
67	NA	NA	NA	NA	NA	0.28844839334487915	NA
68	NA	NA	NA	NA	NA	0.29080095887184143	NA
69	NA	NA	NA	NA	NA	0.2933282256126404	NA
70	NA	NA	NA	NA	NA	0.3018738925457001	NA
71	NA	NA	NA	NA	NA	0.3136714994907379	NA
72	NA	NA	NA	NA	NA	0.32993316650390625	NA
73	NA	NA	NA	NA	NA	0.32969605922698975	NA
74	NA	NA	NA	NA	NA	0.3439575433731079	NA
75	NA	NA	NA	NA	NA	0.3457891643047333	NA
76	NA	NA	NA	NA	NA	0.34243589639663696	NA
77	NA	NA	NA	NA	NA	0.344238817691803	NA
78	NA	NA	NA	NA	NA	0.34373795986175537	NA
79	NA	NA	NA	NA	NA	0.33682769536972046	NA
80	NA	NA	NA	NA	NA	0.33549249172210693	NA
81	NA	NA	NA	NA	NA	0.33509233593940735	NA
82	NA	NA	NA	NA	NA	0.3354877233505249	NA
83	NA	NA	NA	NA	NA	0.3328635096549988	NA
84	NA	NA	NA	NA	NA	0.33893513679504395	NA
85	NA	NA	NA	NA	NA	0.3387267291545868	NA
86	NA	NA	NA	NA	NA	0.33895018696784973	NA
87	NA	NA	NA	NA	NA	0.3380536735057831	NA
88	NA	NA	NA	NA	NA	0.3371370732784271	NA
89	NA	NA	NA	NA	NA	0.3342646658420563	NA
90	NA	NA	NA	NA	NA	0.3371817469596863	NA
91	NA	NA	NA	NA	NA	0.3372863233089447	NA
92	NA	NA	NA	NA	NA	0.3354291319847107	NA
93	NA	NA	NA	NA	NA	0.33881938457489014	NA
94	NA	NA	NA	NA	NA	0.3413333594799042	NA
95	NA	NA	NA	NA	NA	0.33974653482437134	NA
96	NA	NA	NA	NA	NA	0.34330621361732483	NA
97	NA	NA	NA	NA	NA	0.3444497585296631	NA
98	NA	NA	NA	NA	NA	0.34347838163375854	NA
99	NA	NA	NA	NA	NA	0.3548186719417572	NA
100	NA	NA	NA	NA	NA	0.3596467971801758	NA
101	NA	NA	NA	NA	NA	0.3619547188282013	NA
102	NA	NA	NA	NA	NA	0.3599511682987213	NA
103	NA	NA	NA	NA	NA	0.35911110043525696	NA
104	NA	NA	NA	NA	NA	0.35522979497909546	NA
105	NA	NA	NA	NA	NA	0.34988391399383545	NA
106	NA	NA	NA	NA	NA	0.3490745723247528	NA
107	NA	NA	NA	NA	NA	0.3526906967163086	NA
108	NA	NA	NA	NA	NA	0.3502051830291748	NA
109	NA	NA	NA	NA	NA	0.3478318452835083	NA
110	NA	NA	NA	NA	NA	0.34124159812927246	NA
111	NA	NA	NA	NA	NA	0.3386792242527008	NA
112	NA	NA	NA	NA	NA	0.3379112184047699	NA
113	NA	NA	NA	NA	NA	0.3371467888355255	NA
114	NA	NA	NA	NA	NA	0.3347652554512024	NA
115	NA	NA	NA	NA	NA	0.3405609428882599	NA
