	4_8	4_7	3_5	3_6	cycle_1	cycle_2	cycle_3
10	NA	NA	NA	NA	NA	0.08363132178783417	NA
11	NA	NA	NA	NA	NA	0.08710505813360214	NA
12	NA	NA	NA	NA	NA	0.08690149337053299	NA
13	NA	NA	NA	NA	NA	0.08237290382385254	NA
14	NA	NA	NA	NA	NA	0.08190761506557465	NA
15	NA	NA	NA	NA	NA	0.08203218877315521	NA
16	NA	NA	NA	NA	NA	0.0753985196352005	NA
17	NA	NA	NA	NA	NA	0.07314644008874893	NA
18	NA	NA	NA	NA	NA	0.07132656127214432	NA
19	NA	NA	NA	NA	NA	0.07085219770669937	NA
20	NA	NA	NA	NA	NA	0.06449390947818756	NA
21	NA	NA	NA	NA	NA	0.05647701397538185	NA
22	NA	NA	NA	NA	NA	0.057687435299158096	NA
23	NA	NA	NA	NA	NA	0.07126680761575699	NA
24	NA	NA	NA	NA	NA	0.06688741594552994	NA
25	NA	NA	NA	NA	NA	0.06981827318668365	NA
26	NA	NA	NA	NA	NA	0.0632396787405014	NA
27	NA	NA	NA	NA	NA	0.057982854545116425	NA
28	NA	NA	NA	NA	NA	0.021122263744473457	NA
29	NA	NA	NA	NA	NA	0.0	NA
30	NA	NA	NA	NA	NA	0.00481995427981019	NA
31	NA	NA	NA	NA	NA	0.008955915458500385	NA
32	NA	NA	NA	NA	NA	0.018136966973543167	NA
33	NA	NA	NA	NA	NA	0.020561708137392998	NA
34	NA	NA	NA	NA	NA	0.015985935926437378	NA
35	NA	NA	NA	NA	NA	0.025415614247322083	NA
36	NA	NA	NA	NA	NA	0.02831650897860527	NA
37	NA	NA	NA	NA	NA	0.03297976776957512	NA
38	NA	NA	NA	NA	NA	0.031555332243442535	NA
39	NA	NA	NA	NA	NA	0.02957296185195446	NA
40	NA	NA	NA	NA	NA	0.03127242252230644	NA
41	NA	NA	NA	NA	NA	0.03497304022312164	NA
42	NA	NA	NA	NA	NA	0.03759196773171425	NA
43	NA	NA	NA	NA	NA	0.038228169083595276	NA
44	NA	NA	NA	NA	NA	0.038980212062597275	NA
45	NA	NA	NA	NA	NA	0.03779558092355728	NA
46	NA	NA	NA	NA	NA	0.039482854306697845	NA
47	NA	NA	NA	NA	NA	0.036633484065532684	NA
48	NA	NA	NA	NA	NA	0.053872350603342056	NA
49	NA	NA	NA	NA	NA	0.06289628148078918	NA
50	NA	NA	NA	NA	0.07049566507339478	NA	NA
51	NA	NA	NA	NA	NA	0.05599718168377876	NA
52	NA	NA	NA	NA	NA	0.05381228029727936	NA
53	NA	NA	NA	NA	NA	0.05684201419353485	NA
54	NA	NA	NA	NA	NA	0.058602649718523026	NA
55	NA	NA	NA	NA	NA	0.06085321679711342	NA
56	NA	NA	NA	NA	NA	0.06649119406938553	NA
57	NA	NA	NA	NA	NA	0.08274849504232407	NA
58	NA	NA	NA	NA	NA	0.0874510109424591	NA
59	NA	NA	NA	NA	NA	0.0866851732134819	NA
60	NA	NA	NA	NA	NA	0.08296177536249161	NA
61	NA	NA	NA	NA	NA	0.08079937845468521	NA
62	NA	NA	NA	NA	NA	0.07546889036893845	NA
63	NA	NA	NA	NA	0.08040643483400345	NA	NA
64	NA	NA	NA	NA	NA	0.06718580424785614	NA
65	NA	NA	NA	NA	NA	0.06949560344219208	NA
66	NA	NA	NA	NA	NA	0.07633413374423981	NA
67	NA	NA	NA	NA	0.08629950135946274	NA	NA
68	NA	NA	NA	NA	0.09889570623636246	NA	NA
69	NA	NA	NA	NA	0.1135023683309555	NA	NA
70	NA	NA	NA	NA	0.12625955045223236	NA	NA
71	NA	NA	NA	NA	0.14966395497322083	NA	NA
72	NA	NA	NA	NA	0.16365724802017212	NA	NA
73	NA	NA	NA	NA	0.1614041030406952	NA	NA
74	NA	NA	NA	NA	0.16215543448925018	NA	NA
75	NA	NA	NA	NA	0.15893396735191345	NA	NA
76	NA	NA	NA	NA	0.147474467754364	NA	NA
77	NA	NA	NA	NA	0.14314985275268555	NA	NA
78	NA	NA	NA	NA	0.14174820482730865	NA	NA
79	NA	NA	NA	NA	0.1529546082019806	NA	NA
80	NA	NA	NA	NA	0.16818764805793762	NA	NA
81	NA	NA	NA	NA	0.1646563857793808	NA	NA
82	NA	NA	NA	NA	0.16756102442741394	NA	NA
83	NA	NA	NA	NA	0.18342866003513336	NA	NA
84	NA	NA	NA	NA	0.18314391374588013	NA	NA
85	NA	NA	NA	NA	0.17886041104793549	NA	NA
86	NA	NA	NA	NA	0.1827193647623062	NA	NA
87	NA	NA	NA	NA	0.1771867573261261	NA	NA
88	NA	NA	NA	NA	0.17662575840950012	NA	NA
89	NA	NA	NA	NA	0.17255492508411407	NA	NA
90	NA	NA	NA	NA	0.18109500408172607	NA	NA
91	NA	NA	NA	NA	0.1788027584552765	NA	NA
92	NA	NA	NA	NA	0.17360064387321472	NA	NA
93	NA	NA	NA	NA	0.17312967777252197	NA	NA
94	NA	NA	NA	NA	0.17193159461021423	NA	NA
95	NA	NA	NA	NA	0.180448517203331	NA	NA
96	NA	NA	NA	NA	0.18644015491008759	NA	NA
97	NA	NA	NA	NA	0.190042182803154	NA	NA
98	NA	NA	NA	NA	0.19373323023319244	NA	NA
99	NA	NA	NA	NA	0.19998282194137573	NA	NA
100	NA	NA	NA	NA	0.2072613686323166	NA	NA
101	NA	NA	NA	NA	0.20992863178253174	NA	NA
102	NA	NA	NA	NA	0.21160833537578583	NA	NA
