	4_8	3_5	cycle
10	NA	NA	0.1897595375776291
11	NA	NA	0.18733149766921997
12	NA	NA	0.17517481744289398
13	NA	NA	0.1803496778011322
14	NA	NA	0.17281901836395264
15	NA	NA	0.16553744673728943
16	NA	NA	0.15288503468036652
17	NA	NA	0.15096284449100494
18	NA	NA	0.14691634476184845
19	NA	NA	0.14244644343852997
20	NA	NA	0.15489983558654785
21	NA	NA	0.1622862070798874
22	NA	NA	0.16115669906139374
23	NA	NA	0.15846224129199982
24	NA	NA	0.1539839506149292
25	NA	NA	0.14928655326366425
26	NA	NA	0.15271662175655365
27	NA	NA	0.1545758843421936
28	NA	NA	0.14547470211982727
29	NA	NA	0.14341865479946136
30	NA	NA	0.13876238465309143
31	NA	NA	0.1342063844203949
32	NA	NA	0.13261713087558746
33	NA	NA	0.1110692098736763
34	NA	NA	0.11138699948787689
35	NA	NA	0.11012562364339828
36	NA	NA	0.10937097668647766
37	NA	NA	0.10501819103956223
38	NA	NA	0.06583651900291443
39	NA	NA	0.05775407329201698
40	NA	NA	0.04895544424653053
41	NA	NA	0.03669770807027817
42	NA	NA	0.02626139298081398
43	NA	NA	0.0
44	NA	NA	0.05447189509868622
45	NA	NA	0.055188823491334915
46	NA	NA	0.05748073011636734
47	NA	NA	0.06423372775316238
48	NA	NA	0.060993924736976624
49	NA	NA	0.06240689009428024
50	NA	NA	0.08422080427408218
51	NA	NA	0.10231132805347443
52	NA	NA	0.09699279069900513
53	NA	NA	0.09590765088796616
54	NA	NA	0.09429766237735748
55	NA	NA	0.08309578895568848
56	NA	NA	0.07541637867689133
57	NA	NA	0.06804215908050537
58	NA	NA	0.0943169891834259
59	NA	NA	0.10325856506824493
60	NA	NA	0.10943074524402618
61	NA	NA	0.10937103629112244
62	NA	NA	0.1106240302324295
63	NA	NA	0.11418905109167099
64	NA	NA	0.11323428153991699
65	NA	NA	0.11351629346609116
66	NA	NA	0.11469870805740356
67	NA	NA	0.12097285687923431
68	NA	NA	0.13783390820026398
69	NA	NA	0.13438786566257477
70	NA	NA	0.13916243612766266
71	NA	NA	0.13910332322120667
72	NA	NA	0.134452223777771
73	NA	NA	0.1399526745080948
74	NA	NA	0.140534445643425
75	NA	NA	0.14010769128799438
76	NA	NA	0.13896432518959045
77	NA	NA	0.14267350733280182
78	NA	NA	0.150260329246521
79	NA	NA	0.15285387635231018
80	NA	NA	0.16082289814949036
81	NA	NA	0.1695435643196106
82	NA	NA	0.17716261744499207
83	NA	NA	0.18535180389881134
84	NA	NA	0.18725739419460297
85	NA	NA	0.18296237289905548
86	NA	NA	0.18252839148044586
87	NA	NA	0.1804746389389038
88	NA	NA	0.18505720794200897
89	NA	NA	0.20066487789154053
90	NA	NA	0.1990707963705063
91	NA	NA	0.19981792569160461
92	NA	NA	0.1999303251504898
93	NA	NA	0.20302635431289673
94	NA	NA	0.20305757224559784
95	NA	NA	0.20074057579040527
96	NA	NA	0.1962914764881134
97	NA	NA	0.19469067454338074
98	NA	NA	0.1931917667388916
99	NA	NA	0.19252006709575653
100	NA	NA	0.1889842003583908
101	NA	NA	0.19396260380744934
102	NA	NA	0.19606345891952515
103	NA	NA	0.1977621167898178
104	NA	NA	0.1968902200460434
105	NA	NA	0.1966703236103058
106	NA	NA	0.22080646455287933
107	NA	NA	0.2201702892780304
108	NA	NA	0.21576949954032898
109	NA	NA	0.20791129767894745
110	NA	NA	0.2115175575017929
111	NA	NA	0.21304263174533844
112	NA	NA	0.21011634171009064
113	NA	NA	0.20251435041427612
114	NA	NA	0.20209196209907532
115	NA	NA	0.2020840048789978
116	NA	NA	0.20839859545230865
117	NA	NA	0.20954252779483795
118	NA	NA	0.214383065700531
119	NA	NA	0.21456502377986908
120	NA	NA	0.21454989910125732
121	NA	NA	0.2157808542251587
122	NA	NA	0.2074754685163498
123	NA	NA	0.205055370926857
124	NA	NA	0.20158113539218903
125	NA	NA	0.2019227296113968
126	NA	NA	0.19771571457386017
127	NA	NA	0.19257983565330505
128	NA	NA	0.20123742520809174
129	NA	NA	0.1993369311094284
130	NA	NA	0.19991393387317657
131	NA	NA	0.196358323097229
132	NA	NA	0.19481077790260315
133	NA	NA	0.19555671513080597
134	NA	NA	0.19557718932628632
135	NA	NA	0.1890535205602646
136	NA	NA	0.1894931197166443
137	NA	NA	0.1922600418329239
138	NA	NA	0.20915377140045166
139	NA	NA	0.22943119704723358
140	NA	NA	0.22963593900203705
141	NA	NA	0.22933612763881683
142	NA	NA	0.2283475250005722
143	NA	NA	0.22716733813285828
144	NA	NA	0.226079523563385
145	NA	NA	0.2248268723487854
146	NA	NA	0.2189665138721466
147	NA	NA	0.20454847812652588
148	NA	NA	0.20104460418224335
149	NA	NA	0.19585196673870087
150	NA	NA	0.1968095600605011
151	NA	NA	0.19810457527637482
152	NA	NA	0.20022808015346527
153	NA	NA	0.20020343363285065
154	NA	NA	0.2001732438802719
155	NA	NA	0.20813816785812378
156	NA	NA	0.22323323786258698
157	NA	NA	0.22392792999744415
158	NA	NA	0.22422058880329132
159	NA	NA	0.2215624898672104
160	NA	NA	0.2191542088985443
161	NA	NA	0.22043542563915253
162	NA	NA	0.221149742603302
163	NA	NA	0.2200428545475006
164	NA	NA	0.21600964665412903
165	NA	NA	0.21522611379623413
166	NA	NA	0.21966612339019775
167	NA	NA	0.22021740674972534
168	NA	NA	0.22049733996391296
169	NA	NA	0.21919649839401245
170	NA	NA	0.21765099465847015
171	NA	NA	0.21558962762355804
172	NA	NA	0.21327084302902222
173	NA	NA	0.2125883847475052
174	NA	NA	0.21150682866573334
175	NA	NA	0.21296623349189758
176	NA	NA	0.21746693551540375
177	NA	NA	0.21728459000587463
178	NA	NA	0.21681001782417297
179	NA	NA	0.22043180465698242
180	NA	NA	0.22308219969272614
181	NA	NA	0.2222478836774826
182	NA	NA	0.22307603061199188
183	NA	NA	0.22129079699516296
