	4_8	4_7	cycle	3_6
10	NA	NA	0.0	NA
11	NA	NA	0.004461630713194609	NA
12	NA	NA	0.01268630102276802	NA
13	NA	NA	0.014015364460647106	NA
14	NA	NA	0.013113374821841717	NA
15	NA	NA	0.01582450419664383	NA
16	NA	NA	0.02002621255815029	NA
17	NA	NA	0.033950284123420715	NA
18	NA	NA	0.05625726655125618	NA
19	NA	NA	0.05047370120882988	NA
20	NA	NA	0.04562991112470627	NA
21	NA	NA	0.04525727778673172	NA
22	NA	NA	0.05075778067111969	NA
23	NA	NA	0.04990164190530777	NA
24	NA	NA	0.05413214489817619	NA
25	NA	NA	0.07667123526334763	NA
26	NA	NA	0.08340493589639664	NA
27	NA	NA	0.0759502723813057	NA
28	NA	NA	0.08283134549856186	NA
29	NA	NA	0.10026555508375168	NA
30	NA	NA	0.11683399975299835	NA
31	NA	NA	0.11858046799898148	NA
32	NA	NA	0.11484628170728683	NA
33	NA	NA	0.1311989575624466	NA
34	NA	NA	0.13287408649921417	NA
35	NA	NA	0.1510705202817917	NA
36	NA	NA	0.16150611639022827	NA
37	NA	NA	0.17599985003471375	NA
38	NA	NA	0.20374217629432678	NA
39	NA	NA	0.20765088498592377	NA
40	NA	NA	0.2033676952123642	NA
41	NA	NA	0.20630328357219696	NA
42	NA	NA	0.20441681146621704	NA
43	NA	NA	0.1905888020992279	NA
44	NA	NA	0.18770253658294678	NA
45	NA	NA	0.18564185500144958	NA
46	NA	NA	0.18422910571098328	NA
47	NA	NA	0.19587452709674835	NA
48	NA	NA	0.1961384415626526	NA
49	NA	NA	0.19409257173538208	NA
50	NA	NA	0.19159866869449615	NA
51	NA	NA	0.19126345217227936	NA
52	NA	NA	0.19389116764068604	NA
53	NA	NA	0.19953398406505585	NA
54	NA	NA	0.20352710783481598	NA
55	NA	NA	0.20875242352485657	NA
56	NA	NA	0.2188614308834076	NA
57	NA	NA	0.22599421441555023	NA
58	NA	NA	0.22382999956607819	NA
59	NA	NA	0.23485895991325378	NA
60	NA	NA	0.23388315737247467	NA
61	NA	NA	0.22996275126934052	NA
62	NA	NA	0.23304268717765808	NA
63	NA	NA	0.23760060966014862	NA
64	NA	NA	0.24410074949264526	NA
65	NA	NA	0.24545058608055115	NA
66	NA	NA	0.24403661489486694	NA
67	NA	NA	0.3150128722190857	NA
68	NA	NA	0.31865742802619934	NA
69	NA	NA	0.3088643550872803	NA
70	NA	NA	0.30144914984703064	NA
71	NA	NA	0.27964091300964355	NA
72	NA	NA	0.26101890206336975	NA
73	NA	NA	0.2529832720756531	NA
74	NA	NA	0.2556592524051666	NA
75	NA	NA	0.25580963492393494	NA
76	NA	NA	0.27981749176979065	NA
77	NA	NA	0.29160499572753906	NA
78	NA	NA	0.33520978689193726	NA
79	NA	NA	0.3391459286212921	NA
80	NA	NA	0.3565799295902252	NA
81	NA	NA	0.3566557466983795	NA
82	NA	NA	0.370955228805542	NA
83	NA	NA	0.37363144755363464	NA
84	NA	NA	0.3759930431842804	NA
85	NA	NA	0.3862318992614746	NA
86	NA	NA	0.38388633728027344	NA
87	NA	NA	0.3854941725730896	NA
88	NA	NA	0.38669049739837646	NA
89	NA	NA	0.3771548271179199	NA
90	NA	NA	0.3697085678577423	NA
91	NA	NA	0.3761763274669647	NA
92	NA	NA	0.36895278096199036	NA
93	NA	NA	0.3699750006198883	NA
94	NA	NA	0.35932737588882446	NA
95	NA	NA	0.3522706925868988	NA
96	NA	NA	0.37185925245285034	NA
97	NA	NA	0.3720332980155945	NA
98	NA	NA	0.3694601356983185	NA
99	NA	NA	0.3857862055301666	NA
100	NA	NA	0.38543441891670227	NA
101	NA	NA	0.387786865234375	NA
102	NA	NA	0.3846046030521393	NA
103	NA	NA	0.3842797875404358	NA
104	NA	NA	0.3745887279510498	NA
105	NA	NA	0.37505218386650085	NA
106	NA	NA	0.3726843595504761	NA
107	NA	NA	0.3765064775943756	NA
108	NA	NA	0.37784722447395325	NA
109	NA	NA	0.3808955252170563	NA
110	NA	NA	0.38009923696517944	NA
111	NA	NA	0.3899369537830353	NA
112	NA	NA	0.3911825716495514	NA
113	NA	NA	0.39899539947509766	NA
114	NA	NA	0.40276938676834106	NA
115	NA	NA	0.407774955034256	NA
116	NA	NA	0.404085248708725	NA
117	NA	NA	0.4097326099872589	NA
118	NA	NA	0.41002073884010315	NA
119	NA	NA	0.4146379232406616	NA
120	NA	NA	0.4220714867115021	NA
121	NA	NA	0.4212990701198578	NA
122	NA	NA	0.41886019706726074	NA
123	NA	NA	0.40717804431915283	NA
124	NA	NA	0.4029601514339447	NA
125	NA	NA	0.39624691009521484	NA
126	NA	NA	0.39980340003967285	NA
127	NA	NA	0.39703670144081116	NA
128	NA	NA	0.40067222714424133	NA
129	NA	NA	0.4118976294994354	NA
130	NA	NA	0.41477373242378235	NA
131	NA	NA	0.41655412316322327	NA
132	NA	NA	0.41593992710113525	NA
133	NA	NA	0.41519299149513245	NA
134	NA	NA	0.40664511919021606	NA
135	NA	NA	0.3994444012641907	NA
136	NA	NA	0.3977428376674652	NA
137	NA	NA	0.3975759446620941	NA
138	NA	NA	0.39779147505760193	NA
139	NA	NA	0.39756256341934204	NA
140	NA	NA	0.4126378297805786	NA
141	NA	NA	0.4239005744457245	NA
142	NA	NA	0.42249828577041626	NA
143	NA	NA	0.4268030524253845	NA
144	NA	NA	0.42881977558135986	NA
145	NA	NA	0.43143919110298157	NA
146	NA	NA	0.4347664415836334	NA
147	NA	NA	0.43186548352241516	NA
148	NA	NA	0.4349418580532074	NA
149	NA	NA	0.42488569021224976	NA
150	NA	NA	0.4287159740924835	NA
151	NA	NA	0.4290100634098053	NA
152	NA	NA	0.42910051345825195	NA
153	NA	NA	0.42288076877593994	NA
154	NA	NA	0.4193839430809021	NA
155	NA	NA	0.4227086901664734	NA
