,scaling,dataset,kt
0,1,2,-0.09328666019073263
1,1,2,0.7046980396154663
2,1,2,0.47445375140115004
3,1,2,0.6227839558984423
4,1,2,0.553385960298865
5,1,2,0.5672596924213866
6,1,2,-0.301042827441989
7,1,2,0.37683518285842094
8,1,2,0.5295126159628022
9,1,2,-0.2209824959166924
10,1,2,0.49800767401544344
11,1,2,0.5721764786376925
12,1,2,0.6543265274830188
13,1,2,-0.16414802090963607
14,1,2,0.2437400319574269
15,1,2,0.29436852421118437
16,1,2,-0.35163475523674187
17,1,2,0.4268952950283229
18,1,2,0.5885746182276185
19,1,2,0.39778938527477015
20,1,2,-0.5707520081116119
21,1,2,0.32199341689589445
22,1,2,0.01590234144428987
23,1,2,0.34197961174551983
24,1,2,0.3703762297303391
25,1,2,-0.11236696380784886
26,1,2,0.44122149227879426
27,1,2,0.5096086955416155
28,1,2,0.4761860287185722
29,1,2,0.432359741181637
30,1,2,0.2751735264375705
31,1,2,0.5454436406920831
32,1,2,0.645313230286101
33,1,2,0.47864498269851863
34,1,2,-0.04510757490194046
35,1,2,0.08377144944929153
36,1,2,0.6531646738402018
37,1,2,0.7271293602779259
38,1,2,0.7099138800767537
39,1,2,-0.2353354717268775
40,1,2,0.4183645906030427
41,1,2,0.2827217716170683
42,1,2,-0.0352134119974236
43,1,2,0.7611926583322789
44,1,2,0.5876220580850335
45,1,2,-0.4132503118048045
46,1,2,0.2468987966670564
47,1,2,0.21924321897258608
48,1,2,0.39730722512761646
49,1,2,0.32103289378873523
50,1,2,0.04517839331016386
51,1,2,0.4489100556107651
52,1,2,0.17222290679506555
53,1,2,0.4474114332451133
54,1,2,0.48077718512954526
55,1,2,0.19408560514238096
56,1,2,0.06033822661393473
57,1,2,0.572731716955458
58,1,2,0.10535277748053772
59,1,2,0.560118755012865
60,2,2,0.77659547699045
61,2,2,0.07020063672488519
62,2,2,0.8151998929249175
63,2,2,0.8352960684226638
64,2,2,0.684115446200659
65,2,2,0.14251773030317788
66,2,2,0.4201868977772471
67,2,2,0.8747958265630883
68,2,2,-0.3144678106577227
69,2,2,0.8115926396522628
70,2,2,0.3153515405788181
71,2,2,0.40962994939388464
72,2,2,0.8513401498052819
73,2,2,0.7426128543834788
74,2,2,0.14959181658300014
75,2,2,0.8034854828618825
76,2,2,0.6407484638343133
77,2,2,0.7233520575345693
78,2,2,0.7732971504784449
79,2,2,0.8459706283058972
80,2,2,0.784742350405926
81,2,2,0.6798519654323636
82,2,2,-0.006807814915907885
83,2,2,0.6877697983930349
84,2,2,0.7251116345778389
85,2,2,0.7753909492001867
86,2,2,0.6410624830708773
87,2,2,0.7312555529543233
88,2,2,0.8043072879126272
89,2,2,0.5870680009352478
90,2,2,0.8359865480737467
91,2,2,-0.09439828164912288
92,2,2,0.6024175142138434
93,2,2,0.5789068342799791
94,2,2,0.7019705004581275
95,2,2,0.7529866419708496
96,2,2,0.7161131908366104
97,2,2,0.7009769548902212
98,2,2,0.6567686224660052
99,2,2,0.8410262412065855
100,2,2,0.6685805046303016
101,2,2,0.6087754801868995
102,2,2,0.7595817305932623
103,2,2,0.7084534205437838
104,2,2,0.5253377260238639
105,2,2,0.804053467834768
106,2,2,0.6027236800353113
107,2,2,0.7197633872767257
108,2,2,0.4456096098629876
109,2,2,0.7370108980301201
110,2,2,0.6743962943414379
111,2,2,0.5013739471602972
112,2,2,0.6265262883218575
113,2,2,0.7395187338307312
114,2,2,0.8146002534882877
115,2,2,0.7306053538920534
116,2,2,0.5609977033861638
117,2,2,0.529044955757982
118,2,2,0.7975311639927215
119,2,2,0.04204740306140177
120,3,2,0.8862017420157728
121,3,2,0.8740580640185348
122,3,2,0.8515966276990737
123,3,2,0.8592291261728882
124,3,2,0.8627790676478081
125,3,2,0.8741874972644805
126,3,2,0.8997931446639293
127,3,2,0.8566637151073031
128,3,2,0.8625931034335166
129,3,2,0.8999124495163661
130,3,2,0.8992712285808725
131,3,2,0.905895194427145
132,3,2,0.8912612637469789
133,3,2,0.8668781748716989
134,3,2,0.8584756589383867
135,3,2,0.8902868409973695
136,3,2,0.8824492000099496
137,3,2,0.7101027979612295
138,3,2,0.8353615525402286
139,3,2,0.8253135515998774
140,3,2,0.5928244661242986
141,3,2,0.7799645725582284
142,3,2,0.8351268733909729
143,3,2,0.8553658813905131
144,3,2,0.8851267904409436
145,3,2,0.8415184382855456
146,3,2,0.8757993579706517
147,3,2,0.8693872931209815
148,3,2,0.8842230312010313
149,3,2,0.8974164493759847
150,3,2,0.8937056766492191
151,3,2,0.7733270224677271
152,3,2,0.8907775986116271
153,3,2,0.5120915278136395
154,3,2,0.8854551748421653
155,3,2,-0.031854000283440646
156,3,2,0.894784390584242
157,3,2,0.8744330302361432
158,3,2,0.8666414020404298
159,3,2,0.8823616759349729
160,3,2,0.874079611348359
161,3,2,0.8920119595366006
162,3,2,0.529256249763903
163,3,2,0.6116216425157743
164,3,2,0.4493180730466004
165,3,2,0.4445293894557253
166,3,2,0.5726962589542354
167,3,2,0.551261389169631
168,3,2,0.6941793530853341
169,3,2,0.5495420556627325
170,3,2,0.8051533221277789
171,3,2,0.5836469578253535
172,3,2,0.508040405079885
173,3,2,0.7900817579926043
174,3,2,0.883162777019262
175,3,2,0.7963098215836439
176,3,2,0.8597343718918384
177,3,2,0.860831020373208
178,3,2,0.6483881251143998
179,3,2,0.8614237311945439
180,4,2,0.8673353210862257
181,4,2,0.8636087300406503
182,4,2,0.8878492326406965
183,4,2,0.836193670613155
184,4,2,0.8569075888161379
185,4,2,0.8706153703497845
186,4,2,0.9019052200577835
187,4,2,0.8584537719806191
188,4,2,0.850778747472121
189,4,2,0.8975881311772557
190,4,2,0.907016905153245
191,4,2,0.9058416789729393
192,4,2,0.8926843357726147
193,4,2,0.8681171419080422
194,4,2,0.8609503056223696
195,4,2,0.8868062067810112
196,4,2,0.8293161226652861
197,4,2,0.8782857974235405
198,4,2,0.8740855815892149
199,4,2,0.8479081076015472
200,4,2,0.8398157827752226
201,4,2,0.5939725345108412
202,4,2,0.7652868912960641
203,4,2,0.8511282038086682
204,4,2,0.874335225179879
205,4,2,0.8481109634950861
206,4,2,0.7413172910193645
207,4,2,0.8738683255140249
208,4,2,0.8904031720363433
209,4,2,0.8755500630100272
210,4,2,0.8540568736185261
211,4,2,0.8890041258496714
212,4,2,0.7628812009518832
213,4,2,0.6969753871991076
214,4,2,0.8324323134151016
215,4,2,0.8504569620637489
216,4,2,0.8928019840570508
217,4,2,0.8686002243238351
218,4,2,0.8452524915188547
219,4,2,0.8911590741983078
220,4,2,0.8482486055564072
221,4,2,0.8728976391899246
222,4,2,0.8984595537103844
223,4,2,0.8401553020162187
224,4,2,0.8676524314670209
225,4,2,0.8772834941334279
226,4,2,0.8749322400721976
227,4,2,0.8099236638519901
228,4,2,0.8828838369085917
229,4,2,0.7645742579144765
230,4,2,0.8453002366339533
231,4,2,0.6223904575010036
232,4,2,0.8116128285396415
233,4,2,0.8625915494751915
234,4,2,0.8765014140483979
235,4,2,0.793448020254385
236,4,2,0.8290934558699019
237,4,2,0.8405436235688265
238,4,2,0.8855099191057857
239,4,2,0.64171155688659
