,distance_scalar,dataset,kt
0,0.0,2,0.8765521998857767
1,0.0,2,0.8713342300536063
2,0.0,2,0.7186353716378651
3,0.0,2,0.874075213665559
4,0.0,2,0.9001073566157003
5,0.0,2,0.8821135766227158
6,0.0,2,0.8805697979040764
7,0.0,2,0.8525402241805612
8,0.0,2,0.8872617990280849
9,0.0,2,0.9010194861483851
10,0.0,2,0.8850597292018053
11,0.0,2,0.8875698704561238
12,0.0,2,0.9049063836926214
13,0.0,2,0.8812060119759073
14,0.0,2,0.8653013602201478
15,0.0,2,0.8949595924353463
16,0.0,2,0.695245653538873
17,0.0,2,0.9065435571448485
18,0.0,2,0.8713142717737086
19,0.0,2,0.8500037688394011
20,0.0,2,0.8073965923385806
21,0.0,2,0.6078691309526981
22,0.0,2,0.6748081519704073
23,0.0,2,0.8583952251943833
24,0.0,2,0.8079351834821547
25,0.0,2,0.8981277798411059
26,0.0,2,0.8672165890934742
27,0.0,2,0.8468056389773779
28,0.0,2,0.8989896324825173
29,0.0,2,0.9060727179022934
30,0.0,2,0.8655750871677613
31,0.0,2,0.8004576623407814
32,0.0,2,0.8317637506400113
33,0.0,2,0.6924931122864219
34,0.0,2,0.677320844266048
35,0.0,2,0.8755618673030661
36,0.0,2,0.8922261870152766
37,0.0,2,0.8774010813925635
38,0.0,2,0.8654206999497033
39,0.0,2,0.8669063566239195
40,0.0,2,0.8637993076515762
41,0.0,2,0.891932671802634
42,0.0,2,0.8952892456563979
43,0.0,2,0.8194472469888824
44,0.0,2,0.8416751519863468
45,0.0,2,0.8817432871991796
46,0.0,2,0.9001606213030885
47,0.0,2,0.8511119220860546
48,0.0,2,0.8717423529053576
49,0.0,2,0.8455416685801481
50,0.0,2,0.3642688238550999
51,0.0,2,0.768672592479599
52,0.0,2,0.8365962489612749
53,0.0,2,0.8795833280520585
54,0.0,2,0.873449222260864
55,0.0,2,0.8263682053548802
56,0.0,2,0.8581402520077687
57,0.0,2,0.8442469939052147
58,0.0,2,0.8425415425892401
59,0.0,2,0.6600049972476248
60,0.5,2,0.8673353210862257
61,0.5,2,0.8636087300406503
62,0.5,2,0.8878492326406965
63,0.5,2,0.836193670613155
64,0.5,2,0.8569075888161379
65,0.5,2,0.8706153703497845
66,0.5,2,0.9019052200577835
67,0.5,2,0.8584537719806191
68,0.5,2,0.850778747472121
69,0.5,2,0.8975881311772557
70,0.5,2,0.907016905153245
71,0.5,2,0.9058416789729393
72,0.5,2,0.8906854337870876
73,0.5,2,0.8919413215509066
74,0.5,2,0.8887107332266113
75,0.5,2,0.8789729949724603
76,0.5,2,0.8897576557693843
77,0.5,2,-0.054615744818244834
78,0.5,2,0.8740855815892149
79,0.5,2,0.8479081076015472
80,0.5,2,0.8398157827752226
81,0.5,2,0.5939725345108412
82,0.5,2,0.7652868912960641
83,0.5,2,0.8511282038086682
84,0.5,2,0.874335225179879
85,0.5,2,0.8481109634950861
86,0.5,2,0.7413172910193645
87,0.5,2,0.8738683255140249
88,0.5,2,0.8904031720363433
89,0.5,2,0.8755500630100272
90,0.5,2,0.8540568736185261
91,0.5,2,0.8890041258496714
92,0.5,2,0.7628812009518832
93,0.5,2,0.6969753871991076
94,0.5,2,0.8324323134151016
95,0.5,2,0.8504569620637489
96,0.5,2,0.8928019840570508
97,0.5,2,0.8686002243238351
98,0.5,2,0.8452524915188547
99,0.5,2,0.8911590741983078
100,0.5,2,0.8482486055564072
101,0.5,2,0.8728976391899246
102,0.5,2,0.8984595537103844
103,0.5,2,0.8401553020162187
104,0.5,2,0.8676524314670209
105,0.5,2,0.8772834941334279
106,0.5,2,0.8749322400721976
107,0.5,2,0.8099236638519901
108,0.5,2,0.8828838369085917
109,0.5,2,0.7645742579144765
110,0.5,2,0.8453002366339533
111,0.5,2,0.6223904575010036
112,0.5,2,0.8116128285396415
113,0.5,2,0.8625915494751915
114,0.5,2,0.8765014140483979
115,0.5,2,0.793448020254385
116,0.5,2,0.8290934558699019
117,0.5,2,0.8405436235688265
118,0.5,2,0.8855099191057857
119,0.5,2,0.64171155688659
120,1.0,2,0.8923311566661609
121,1.0,2,0.8549027849721903
122,1.0,2,0.884263016108551
123,1.0,2,0.8430182394425083
124,1.0,2,0.8751361451845218
125,1.0,2,0.8611222741521352
126,1.0,2,0.8992586294333212
127,1.0,2,0.8446705995947513
128,1.0,2,0.8595808692220078
129,1.0,2,0.8957165821143207
130,1.0,2,0.9007887524811898
131,1.0,2,0.9030927418809398
132,1.0,2,0.9044772912046991
133,1.0,2,0.8802143279843595
134,1.0,2,0.8824976051494282
135,1.0,2,0.8981920918152088
136,1.0,2,0.9052541323936683
137,1.0,2,0.08516663166678735
138,1.0,2,0.8720921420567246
139,1.0,2,0.8407434411813952
140,1.0,2,0.6131973319155145
141,1.0,2,0.7735717828875036
142,1.0,2,0.8322978245057561
143,1.0,2,0.8437633773272373
144,1.0,2,0.9076270237060753
145,1.0,2,0.8505159449019978
146,1.0,2,0.8400094492890764
147,1.0,2,0.7262860493390727
148,1.0,2,0.9111152884763595
149,1.0,2,0.9005860564967495
150,1.0,2,0.8880365620511637
151,1.0,2,0.808229726400584
152,1.0,2,0.7886263042889484
153,1.0,2,0.6929215589103227
154,1.0,2,0.8576354809663405
155,1.0,2,0.8625075588294141
156,1.0,2,0.8867420435927953
157,1.0,2,0.8573062130986783
158,1.0,2,0.8649214935023933
159,1.0,2,0.8934937267770884
160,1.0,2,0.8895437793392864
161,1.0,2,0.8852638644191136
162,1.0,2,0.8820291397908216
163,1.0,2,0.8663223134000974
164,1.0,2,0.8443526811010309
165,1.0,2,0.8575954380683354
166,1.0,2,0.859102161198443
167,1.0,2,0.8609552821574578
168,1.0,2,0.8429644114901778
169,1.0,2,0.7827033661569208
170,1.0,2,0.6407760029090139
171,1.0,2,0.821830004382639
172,1.0,2,0.8276652669975529
173,1.0,2,0.8117159042627575
174,1.0,2,0.8786044077967002
175,1.0,2,0.8081701243992404
176,1.0,2,0.7805871088736709
177,1.0,2,0.7790151775713852
178,1.0,2,0.8680565621583071
179,1.0,2,0.8878243352611722
180,2.0,2,0.8890923297758944
181,2.0,2,0.878847896444349
182,2.0,2,0.8546101409798667
183,2.0,2,0.8681783300587047
184,2.0,2,0.8498855645839098
185,2.0,2,0.8869744452366253
186,2.0,2,0.9052103834206757
187,2.0,2,0.8536391085931352
188,2.0,2,0.8540397608277364
189,2.0,2,0.8937026198743417
190,2.0,2,0.9058382459152793
191,2.0,2,0.9066093639113102
192,2.0,2,0.9082143545970247
193,2.0,2,0.8725214656897189
194,2.0,2,0.8796038198654369
195,2.0,2,0.9068959500338006
196,2.0,2,0.911254221794203
197,2.0,2,0.910619996648691
198,2.0,2,0.8728997740352972
199,2.0,2,0.8446161811798132
200,2.0,2,0.786158957411475
201,2.0,2,0.6188685447814299
202,2.0,2,0.8299006291514517
203,2.0,2,0.8424984399125228
204,2.0,2,0.9170975501258212
205,2.0,2,0.8733944835851238
206,2.0,2,0.7954563562582765
207,2.0,2,0.8692801965533067
208,2.0,2,0.9052087333674534
209,2.0,2,0.9151791306114847
210,2.0,2,0.8855075506352124
211,2.0,2,0.8160336786040007
212,2.0,2,0.8555352757136683
213,2.0,2,0.7810722086674978
214,2.0,2,0.7029870027282735
215,2.0,2,0.85336853490258
216,2.0,2,0.8968738281948344
217,2.0,2,0.8539470800872849
218,2.0,2,0.8703325510492848
219,2.0,2,0.8953445914604843
