,distance_scalar,dataset,kt
0,0.0,2,0.7682123127797015
1,0.0,2,0.7808904984934204
2,0.0,2,0.7749200431696781
3,0.0,2,0.5776661224377596
4,0.0,2,0.7672828937532664
5,0.0,2,0.5922222889032506
6,0.0,2,0.8180501410138871
7,0.0,2,0.7696181663579519
8,0.0,2,0.6148251874889331
9,0.0,2,0.4373995772385708
10,0.5,2,0.8144939935210461
11,0.5,2,0.8330441162443913
12,0.5,2,0.5881032876972044
13,0.5,2,0.5211476890551647
14,0.5,2,0.8001111045757977
15,0.5,2,0.5686578056757807
16,0.5,2,0.8263228634917603
17,0.5,2,0.7539417665698531
18,0.5,2,0.46213168140721794
19,0.5,2,0.44810640552543146
20,1.0,2,0.8202902335653681
21,1.0,2,0.8377606255610477
22,1.0,2,0.5880425101806908
23,1.0,2,0.5476774338612829
24,1.0,2,0.7820347323817866
25,1.0,2,0.5620064512140686
26,1.0,2,0.8062084285612003
27,1.0,2,0.8293404819411809
28,1.0,2,0.4567562272774713
29,1.0,2,0.5771192417918468
30,2.0,2,0.8012884170004231
31,2.0,2,0.8239997564493377
32,2.0,2,0.7834462988028676
33,2.0,2,0.5474903432587033
34,2.0,2,0.8099154957190312
35,2.0,2,0.588173584767275
36,2.0,2,0.8172870323162637
37,2.0,2,0.8076298770406963
38,2.0,2,0.4451199978254798
39,2.0,2,0.6109308442726264
