	0	1	2	3
Cell_1	NA	0.0020487355068325996	NA	NA
Cell_2	NA	0.008933561854064465	NA	NA
Cell_3	NA	0.0	NA	NA
Cell_4	NA	0.009221801534295082	NA	NA
Cell_5	NA	0.011698693037033081	NA	NA
Cell_6	NA	0.023533659055829048	NA	NA
Cell_7	NA	0.013994165696203709	NA	NA
Cell_8	NA	0.02091315947473049	NA	NA
Cell_9	NA	0.01668231189250946	NA	NA
Cell_10	NA	0.013985393568873405	NA	NA
Cell_11	NA	0.011497569270431995	NA	NA
Cell_12	NA	0.016388293355703354	NA	NA
Cell_13	NA	0.009627840481698513	NA	NA
Cell_14	NA	0.018517576158046722	NA	NA
Cell_15	NA	0.010912775062024593	NA	NA
Cell_16	NA	0.025268806144595146	NA	NA
Cell_17	NA	0.020557306706905365	NA	NA
Cell_18	NA	0.021027594804763794	NA	NA
Cell_19	NA	0.029668821021914482	NA	NA
Cell_20	NA	0.03041686862707138	NA	NA
Cell_21	NA	0.025726860389113426	NA	NA
Cell_22	NA	0.03069077990949154	NA	NA
Cell_23	NA	0.030807461589574814	NA	NA
Cell_24	NA	0.042461421340703964	NA	NA
Cell_25	NA	0.03054059110581875	NA	NA
Cell_26	NA	0.05079059302806854	NA	NA
Cell_27	NA	0.041132040321826935	NA	NA
Cell_28	NA	0.04214030131697655	NA	NA
Cell_29	NA	0.04203580692410469	NA	NA
Cell_30	NA	0.04918060451745987	NA	NA
Cell_31	NA	0.044857293367385864	NA	NA
Cell_32	NA	0.04232164844870567	NA	NA
Cell_33	NA	0.04724162444472313	NA	NA
Cell_34	NA	0.04919730871915817	NA	NA
Cell_35	NA	0.0479573979973793	NA	NA
Cell_36	NA	0.055164825171232224	NA	NA
Cell_37	NA	0.04841889068484306	NA	NA
Cell_38	NA	0.05561978742480278	NA	NA
Cell_39	NA	0.05735393613576889	NA	NA
Cell_40	NA	0.07072489708662033	NA	NA
Cell_41	NA	0.0694253221154213	NA	NA
Cell_42	NA	0.0683366134762764	NA	NA
Cell_43	NA	0.067827507853508	NA	NA
Cell_44	NA	0.06693264096975327	NA	NA
Cell_45	NA	0.07660999149084091	NA	NA
Cell_46	NA	0.06558738648891449	NA	NA
Cell_47	NA	0.0743732750415802	NA	NA
Cell_48	NA	0.07311560958623886	NA	NA
Cell_49	NA	0.0736313983798027	NA	NA
Cell_50	NA	0.08044973015785217	NA	NA
Cell_51	NA	0.0798310711979866	NA	NA
Cell_52	NA	0.09155355393886566	NA	NA
Cell_53	NA	0.09386113286018372	NA	NA
Cell_54	NA	0.10997176170349121	NA	NA
Cell_55	NA	0.10014118999242783	NA	NA
Cell_56	NA	0.10285700112581253	NA	NA
Cell_57	NA	0.1021048054099083	NA	NA
Cell_58	NA	0.11169158667325974	NA	NA
Cell_59	NA	0.1138533428311348	NA	NA
Cell_60	NA	0.12291283905506134	NA	NA
Cell_61	NA	0.12428668141365051	NA	NA
Cell_62	NA	0.13159754872322083	NA	NA
Cell_63	NA	0.1292611062526703	NA	NA
Cell_64	NA	0.12539851665496826	NA	NA
Cell_65	NA	0.1285717934370041	NA	NA
Cell_66	NA	0.13299426436424255	NA	NA
Cell_67	NA	0.13542310893535614	NA	NA
Cell_68	NA	0.14567609131336212	NA	NA
Cell_69	NA	0.13631698489189148	NA	NA
Cell_70	NA	0.14085957407951355	NA	NA
Cell_71	NA	0.14988930523395538	NA	NA
Cell_72	NA	0.1618225872516632	NA	NA
Cell_73	NA	0.14800623059272766	NA	NA
Cell_74	NA	0.1622859090566635	NA	NA
Cell_75	NA	0.16729460656642914	NA	NA
Cell_76	NA	0.1803690493106842	NA	NA
Cell_77	NA	0.1924465000629425	NA	NA
Cell_78	NA	0.18938516080379486	NA	NA
Cell_79	NA	0.19606521725654602	NA	NA
Cell_80	NA	0.19782331585884094	NA	NA
Cell_81	NA	0.1984674334526062	NA	NA
Cell_82	NA	0.20368331670761108	NA	NA
Cell_83	NA	0.19989065825939178	NA	NA
Cell_84	NA	0.20989258587360382	NA	NA
Cell_85	NA	0.21358942985534668	NA	NA
Cell_86	NA	0.20786523818969727	NA	NA
Cell_87	NA	0.21943621337413788	NA	NA
Cell_88	NA	0.21774384379386902	NA	NA
Cell_89	NA	0.2198634147644043	NA	NA
Cell_90	NA	0.22338005900382996	NA	NA
Cell_91	NA	0.22115406394004822	NA	NA
Cell_92	NA	0.22795388102531433	NA	NA
Cell_93	NA	0.23733338713645935	NA	NA
Cell_94	NA	0.2466718703508377	NA	NA
Cell_95	NA	0.23959147930145264	NA	NA
Cell_96	NA	0.2490301877260208	NA	NA
Cell_97	NA	0.3004287779331207	NA	NA
Cell_98	NA	0.3207107484340668	NA	NA
Cell_99	NA	0.32433801889419556	NA	NA
Cell_100	NA	0.32827407121658325	NA	NA
Cell_101	NA	0.33205655217170715	NA	NA
Cell_102	NA	0.3462089002132416	NA	NA
Cell_103	NA	0.3513879179954529	NA	NA
Cell_104	NA	0.356338232755661	NA	NA
Cell_105	NA	0.3772762417793274	NA	NA
Cell_106	NA	0.38252103328704834	NA	NA
Cell_107	NA	0.38087016344070435	NA	NA
Cell_108	NA	0.3778141438961029	NA	NA
Cell_109	NA	0.3829835057258606	NA	NA
Cell_110	NA	0.38601240515708923	NA	NA
Cell_111	NA	0.38855069875717163	NA	NA
Cell_112	NA	0.3940317630767822	NA	NA
Cell_113	NA	0.39345598220825195	NA	NA
Cell_114	NA	0.3937434256076813	NA	NA
Cell_115	NA	0.4049794673919678	NA	NA
Cell_116	NA	0.4066852629184723	NA	NA
Cell_117	NA	0.4132702946662903	NA	NA
Cell_118	NA	0.42391714453697205	NA	NA
Cell_119	NA	0.43153807520866394	NA	NA
Cell_120	NA	0.4343582093715668	NA	NA
Cell_121	NA	0.4438425600528717	NA	NA
Cell_122	NA	0.44122838973999023	NA	NA
Cell_123	NA	0.46270906925201416	NA	NA
Cell_124	NA	0.48075705766677856	NA	NA
Cell_125	NA	0.48087769746780396	NA	NA
Cell_126	NA	0.5174227356910706	NA	NA
Cell_127	NA	0.504912257194519	NA	NA
Cell_128	NA	0.516440212726593	NA	NA
