	traj_0
Cell_1	0.15490577606605135
Cell_2	0.12395092402568213
Cell_3	0.1250934962538805
Cell_4	0.12436626013150306
Cell_5	0.1241125160540645
Cell_6	0.12450983874039326
Cell_7	0.12552698324729833
Cell_8	0.12586940352634549
Cell_9	0.12586940352634549
Cell_10	0.12586940352634549
Cell_11	0.12586940352634549
Cell_12	0.12167461561135376
Cell_13	0.12207122957878612
Cell_14	0.12207122957878612
Cell_15	0.12005003691078861
Cell_16	0.12207122957878612
Cell_17	0.12005003691078861
Cell_18	0.112800738850793
Cell_19	0.11159235754449809
Cell_20	0.11408400020036367
Cell_21	0.11596521732680766
Cell_22	0.11528709168492374
Cell_23	0.1168708089384482
Cell_24	0.10878985753310041
Cell_25	0.11728925420329128
Cell_26	0.10970764060619732
Cell_27	0.11621412629426776
Cell_28	0.10886368747569529
Cell_29	0.10886368747569529
Cell_30	0.1075958226581379
Cell_31	0.10729515229937035
Cell_32	0.10053214412141569
Cell_33	0.0975235054375383
Cell_34	0.08937686140974606
Cell_35	0.05990802239054733
Cell_36	0.0684809151721227
Cell_37	0.06790465737503908
Cell_38	0.060172958537026235
Cell_39	0.08308150068006433
Cell_40	0.0745063244645394
Cell_41	0.04326011831171388
Cell_42	0.029007509813529772
Cell_43	0.03136228092117722
Cell_44	0.02932784070472366
Cell_45	0.018654651943786044
Cell_46	0.0513517984238381
Cell_47	0.05770494988100842
Cell_48	0.031117887613204404
Cell_49	0.02125186891664264
Cell_50	0.03047943198520095
Cell_51	0.015183642332899214
Cell_52	0.012328796236535102
Cell_53	0.01570240922531814
Cell_54	0.01440355824502566
Cell_55	0.009470760855277522
Cell_56	0.007539004907034605
Cell_57	0.010946024313616881
Cell_58	0.007949208005689826
Cell_59	0.010379351668908207
Cell_60	0.00690638678828986
Cell_61	0.012602651461113641
Cell_62	3.878133759085201e-05
Cell_63	0.00868143116484233
Cell_64	0.006652317983856855
Cell_65	0.004526922380950826
Cell_66	0.004025624966616394
Cell_67	0.0
Cell_68	0.00019025208298716003
Cell_69	0.0080885479935783
Cell_70	0.01509401961032853
Cell_71	0.010458509832762678
Cell_72	0.0021433475886201824
Cell_73	0.0055461941358290485
Cell_74	0.00541088882026238
Cell_75	0.026858010311787642
Cell_76	0.030869737180369797
Cell_77	0.0169318037182669
Cell_78	0.03416460204587628
Cell_79	0.03767337708195214
Cell_80	0.03153370291627204
Cell_81	0.08010409006413778
Cell_82	0.060971733878238836
Cell_83	0.055580607867047625
Cell_84	0.06782367658983146
Cell_85	0.06409865855563314
Cell_86	0.06494742603594797
Cell_87	0.07661311635204637
Cell_88	0.06947138040031722
Cell_89	0.08145447667663452
Cell_90	0.07485081693691135
Cell_91	0.09068294521800868
Cell_92	0.08909083338565053
Cell_93	0.08088648299925046
Cell_94	0.1043551773058209
Cell_95	0.10728548583516677
Cell_96	0.09745118198796437
Cell_97	0.11347368873896843
Cell_98	0.11952006276782415
Cell_99	0.12853072624930661
Cell_100	0.12861527170990275
Cell_101	0.131001986322933
Cell_102	0.13863752923682024
Cell_103	0.14268523935088936
Cell_104	0.14192356410641924
Cell_105	0.13658098298038468
Cell_106	0.12855356439153848
Cell_107	0.14568343068138426
Cell_108	0.14631213752076
Cell_109	0.15054939741779352
Cell_110	0.14702382567893255
Cell_111	0.15329230062420943
Cell_112	0.1524832108910225
Cell_113	0.15165697463291544
Cell_114	0.151299154267269
Cell_115	0.1515466774575561
Cell_116	0.15302575923779982
Cell_117	0.1463597624767346
Cell_118	0.15144013975915166
Cell_119	0.1514093042463094
Cell_120	0.1542918118204081
Cell_121	0.148770639334746
Cell_122	0.1436240937516067
Cell_123	0.13485439735505755
Cell_124	0.15102648240056804
Cell_125	0.14443671577295028
Cell_126	0.15102648240056804
