	0	1	2
cell1	NA	NA	0.0
cell2	NA	NA	0.023395344614982605
cell3	0.9340859651565552	NA	NA
cell4	NA	NA	0.16709037125110626
cell5	NA	NA	0.16835668683052063
cell6	NA	0.24791181087493896	NA
cell7	NA	NA	0.0674828290939331
cell8	NA	NA	0.13940522074699402
cell9	NA	NA	0.06435762345790863
cell10	NA	NA	0.06618159264326096
cell11	NA	NA	0.058969005942344666
cell12	NA	NA	0.20488427579402924
cell13	NA	NA	0.0020920715760439634
cell14	NA	NA	0.07362526655197144
cell15	NA	NA	0.16431336104869843
cell16	NA	NA	0.062335435301065445
cell17	NA	0.25663191080093384	NA
cell18	NA	NA	0.06578550487756729
cell19	NA	NA	0.06349703669548035
cell20	NA	NA	0.09225589036941528
cell21	0.9237414598464966	NA	NA
cell22	NA	NA	0.21777640283107758
cell23	NA	NA	0.0980013981461525
cell24	NA	NA	0.13925401866436005
cell25	NA	NA	0.06307027488946915
cell26	NA	0.26345956325531006	NA
cell27	NA	NA	0.20566147565841675
cell28	NA	NA	0.21987202763557434
cell29	NA	NA	0.06651897728443146
cell30	NA	NA	0.06615076214075089
cell31	NA	0.25822925567626953	NA
cell32	NA	NA	0.16674257814884186
cell33	NA	NA	0.22325986623764038
cell34	NA	NA	0.06274423748254776
cell35	NA	NA	0.11200005561113358
cell36	NA	NA	0.06608976423740387
cell37	NA	NA	0.1714545637369156
cell38	NA	NA	0.05397525429725647
cell39	NA	NA	0.03429558128118515
cell40	NA	NA	0.14063428342342377
cell41	NA	NA	0.16757556796073914
cell42	NA	NA	0.030310586094856262
cell43	NA	NA	0.1922406256198883
cell44	NA	NA	0.05398944765329361
cell45	NA	NA	0.17352530360221863
cell46	NA	NA	0.17027868330478668
cell47	NA	NA	0.09691426157951355
cell48	NA	NA	0.06256704032421112
cell49	NA	NA	0.09909264743328094
cell50	NA	NA	0.06314796209335327
cell51	NA	0.2689085602760315	NA
cell52	NA	NA	0.16592632234096527
cell53	NA	NA	0.23262172937393188
cell54	NA	NA	0.2306181937456131
cell55	NA	NA	0.114839106798172
cell56	NA	NA	0.06463600695133209
cell57	NA	NA	0.16327239573001862
cell58	NA	NA	0.17068442702293396
cell59	NA	NA	0.06493796408176422
cell60	NA	0.27007076144218445	NA
cell61	NA	NA	0.06433992087841034
cell62	NA	NA	0.22738319635391235
cell63	NA	NA	0.11903621256351471
cell64	NA	NA	0.06587249040603638
cell65	NA	NA	0.16614645719528198
cell66	NA	NA	0.2452574372291565
cell67	0.9563872814178467	NA	NA
cell68	NA	NA	0.197979137301445
cell69	NA	NA	0.062151722609996796
cell70	NA	NA	0.22992415726184845
