	0	1	2
Cell_1	NA	NA	0.0
Cell_2	NA	NA	0.02996770292520523
Cell_3	NA	NA	0.0346345491707325
Cell_4	NA	NA	0.021557077765464783
Cell_5	NA	NA	0.022411487996578217
Cell_6	NA	NA	0.02170620858669281
Cell_7	NA	NA	0.022260619327425957
Cell_8	NA	NA	0.01841786503791809
Cell_9	NA	NA	0.016255449503660202
Cell_10	NA	NA	0.01769980788230896
Cell_11	NA	NA	0.018146945163607597
Cell_12	NA	NA	0.017210401594638824
Cell_13	NA	NA	0.020228059962391853
Cell_14	NA	NA	0.018457157537341118
Cell_15	NA	NA	0.02255985699594021
Cell_16	NA	NA	0.02505694329738617
Cell_17	NA	NA	0.019625607877969742
Cell_18	NA	NA	0.027976660057902336
Cell_19	NA	NA	0.022801164537668228
Cell_20	NA	NA	0.025006739422678947
Cell_21	NA	NA	0.02714364603161812
Cell_22	NA	NA	0.022358089685440063
Cell_23	NA	NA	0.02057342231273651
Cell_24	NA	NA	0.020328339189291
Cell_25	NA	NA	0.02302613854408264
Cell_26	NA	NA	0.020017940551042557
Cell_27	NA	NA	0.018509460613131523
Cell_28	NA	NA	0.017406798899173737
Cell_29	NA	NA	0.016789713874459267
Cell_30	NA	NA	0.017596248537302017
Cell_31	NA	NA	0.017552657052874565
Cell_32	NA	NA	0.0168362557888031
Cell_33	NA	NA	0.015628980472683907
Cell_34	NA	NA	0.013716750778257847
Cell_35	NA	NA	0.017997978255152702
Cell_36	NA	NA	0.015202815644443035
Cell_37	NA	NA	0.016005557030439377
Cell_38	NA	NA	0.011901335790753365
Cell_39	NA	NA	0.011651027016341686
Cell_40	NA	NA	0.012490306980907917
Cell_41	NA	NA	0.010266349650919437
Cell_42	NA	NA	0.008739003911614418
Cell_43	NA	NA	0.010676032863557339
Cell_44	NA	NA	0.008222494274377823
Cell_45	NA	NA	0.009988602250814438
Cell_46	NA	NA	0.014740712940692902
Cell_47	NA	NA	0.010900324210524559
Cell_48	NA	NA	0.01237720251083374
Cell_49	NA	NA	0.017538610845804214
Cell_50	NA	NA	0.014107500202953815
Cell_51	NA	NA	0.01916942559182644
Cell_52	NA	NA	0.01918836496770382
Cell_53	NA	NA	0.0215874332934618
Cell_54	NA	NA	0.015452632680535316
Cell_55	NA	NA	0.024974673986434937
Cell_56	NA	NA	0.016838548704981804
Cell_57	NA	NA	0.02699645236134529
Cell_58	NA	NA	0.03045298159122467
Cell_59	NA	NA	0.025559034198522568
Cell_60	NA	NA	0.034530073404312134
Cell_61	NA	NA	0.025866026058793068
Cell_62	NA	NA	0.030716659501194954
Cell_63	NA	NA	0.018228335306048393
Cell_64	NA	NA	0.022699426859617233
Cell_65	NA	NA	0.021936465054750443
Cell_66	NA	NA	0.022120103240013123
Cell_67	NA	NA	0.017934804782271385
Cell_68	NA	NA	0.024238716810941696
Cell_69	NA	NA	0.01862647943198681
Cell_70	NA	NA	0.029961397871375084
Cell_71	NA	NA	0.023083331063389778
Cell_72	NA	NA	0.021253423765301704
Cell_73	NA	NA	0.03120799921452999
Cell_74	NA	NA	0.02949376031756401
Cell_75	NA	NA	0.03201008960604668
Cell_76	NA	NA	0.03900057449936867
Cell_77	NA	NA	0.03767149895429611
Cell_78	NA	NA	0.047898128628730774
Cell_79	NA	NA	0.056104935705661774
Cell_80	NA	NA	0.04136396571993828
Cell_81	NA	NA	0.05966070666909218
Cell_82	NA	NA	0.051486946642398834
Cell_83	NA	NA	0.04296407103538513
Cell_84	NA	NA	0.04500027745962143
Cell_85	NA	NA	0.04875320941209793
Cell_86	NA	NA	0.047765038907527924
Cell_87	NA	NA	0.057829976081848145
Cell_88	NA	NA	0.05882255360484123
Cell_89	NA	NA	0.07518061995506287
Cell_90	NA	NA	0.07876792550086975
Cell_91	NA	NA	0.0824175700545311
Cell_92	NA	NA	0.08822787553071976
Cell_93	NA	NA	0.07886754721403122
Cell_94	NA	NA	0.09674805402755737
Cell_95	NA	NA	0.09620967507362366
Cell_96	NA	NA	0.09679191559553146
Cell_97	NA	NA	0.10316404700279236
Cell_98	NA	NA	0.10612872242927551
Cell_99	NA	NA	0.11719049513339996
Cell_100	NA	NA	0.12135975062847137
Cell_101	NA	NA	0.12262119352817535
Cell_102	NA	NA	0.12834839522838593
Cell_103	NA	NA	0.12839005887508392
Cell_104	NA	NA	0.12770161032676697
Cell_105	NA	NA	0.12908032536506653
Cell_106	NA	NA	0.12674649059772491
Cell_107	NA	NA	0.13947483897209167
Cell_108	NA	NA	0.1355159878730774
Cell_109	NA	NA	0.13913550972938538
Cell_110	NA	NA	0.13567113876342773
Cell_111	NA	NA	0.13487106561660767
Cell_112	NA	NA	0.13385175168514252
Cell_113	NA	NA	0.1359548270702362
Cell_114	NA	NA	0.13213203847408295
Cell_115	NA	NA	0.13073183596134186
Cell_116	NA	NA	0.13343395292758942
Cell_117	NA	NA	0.13168425858020782
Cell_118	NA	NA	0.13774028420448303
Cell_119	NA	NA	0.1425093710422516
Cell_120	NA	NA	0.13775697350502014
Cell_121	NA	NA	0.13916996121406555
Cell_122	NA	NA	0.13701234757900238
Cell_123	NA	NA	0.14590968191623688
Cell_124	NA	NA	0.1457005739212036
Cell_125	NA	NA	0.15210062265396118
Cell_126	NA	NA	0.14757128059864044
Cell_127	NA	NA	0.16193582117557526
Cell_128	NA	NA	0.15870170295238495
Cell_129	NA	NA	0.15988542139530182
Cell_130	NA	NA	0.17731568217277527
Cell_131	NA	NA	0.1846696138381958
Cell_132	NA	NA	0.17732791602611542
Cell_133	NA	NA	0.18817256391048431
