	0	1	2	3	4
Cell_119	NA	0.2925553023815155	NA	NA	NA
Cell_120	NA	0.28317877650260925	NA	NA	NA
Cell_121	NA	0.2858157753944397	NA	NA	NA
Cell_122	NA	0.2886035442352295	NA	NA	NA
Cell_123	NA	0.298382043838501	NA	NA	NA
Cell_124	NA	0.30603742599487305	NA	NA	NA
Cell_125	NA	0.3045037090778351	NA	NA	NA
Cell_126	NA	0.3085536062717438	NA	NA	NA
Cell_127	NA	0.3060212731361389	NA	NA	NA
Cell_128	NA	0.3049377202987671	NA	NA	NA
Cell_129	NA	0.3114445209503174	NA	NA	NA
Cell_130	NA	0.3050387501716614	NA	NA	NA
Cell_131	NA	0.305133581161499	NA	NA	NA
Cell_132	NA	0.30179184675216675	NA	NA	NA
Cell_133	NA	0.3030777871608734	NA	NA	NA
Cell_134	NA	0.30127134919166565	NA	NA	NA
Cell_135	NA	0.3043162524700165	NA	NA	NA
Cell_136	NA	0.30456727743148804	NA	NA	NA
Cell_137	NA	0.3038688004016876	NA	NA	NA
Cell_138	NA	0.30606669187545776	NA	NA	NA
Cell_139	NA	0.3120366334915161	NA	NA	NA
Cell_140	NA	0.3124879002571106	NA	NA	NA
Cell_141	NA	0.31358498334884644	NA	NA	NA
Cell_142	NA	0.3184063732624054	NA	NA	NA
Cell_143	NA	0.3118658661842346	NA	NA	NA
Cell_144	NA	0.3165811598300934	NA	NA	NA
Cell_145	NA	0.3136199414730072	NA	NA	NA
Cell_146	NA	0.32069045305252075	NA	NA	NA
Cell_147	NA	0.3174892067909241	NA	NA	NA
Cell_148	NA	0.3220488429069519	NA	NA	NA
Cell_149	NA	0.3380630612373352	NA	NA	NA
Cell_150	NA	0.3298894166946411	NA	NA	NA
Cell_151	NA	0.34059441089630127	NA	NA	NA
Cell_152	NA	0.3445816934108734	NA	NA	NA
Cell_153	NA	0.3479281961917877	NA	NA	NA
Cell_154	NA	0.3649439215660095	NA	NA	NA
Cell_155	NA	0.3517698347568512	NA	NA	NA
Cell_156	NA	0.3542090952396393	NA	NA	NA
Cell_157	NA	0.3540802299976349	NA	NA	NA
Cell_158	NA	0.35134726762771606	NA	NA	NA
Cell_159	NA	0.35796022415161133	NA	NA	NA
